Setting,year,cucumber_area,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,8342.0,52972.4,54696.7,1724.2999999999956,1863.7612713283918,0.0063279727239569095
Baku city,2000,27.0,167.0,908.0,741.0,83.71170982794963,0.08424552853939438
Nakhchivan Autonomous Republic,2000,1195.0,7376.0,8176.0,800.0,356.6931182118743,-0.04129735415946989
Nakhchivan city,2000,,0.0,577.0,577.0,46.93870290139428,
Babak district,2000,572.0,3688.0,2610.0,-1078.0,157.69983871404176,-0.07508632847251817
Julfa district,2000,47.0,289.0,324.0,35.0,37.85094240015313,-0.04844368521061693
Kangarli district,2000,,80.0,386.1,306.1,21.61455345485147,
Ordubad district,2000,124.0,737.0,653.8,-83.20000000000005,39.39808996326628,-0.15065149509567122
Sadarak district,2000,3.0,123.0,500.0,377.0,43.936383523242434,0.14073737530992347
Shahbuz district,2000,52.0,327.0,209.0,-118.0,22.668211797293505,-0.09680576022891418
Sharur district,2000,397.0,2132.0,2916.0,784.0,103.02489322095124,-0.02094144625987282
Absheron-Khizi economic region,2000,70.0,368.2,211.79999999999998,-156.4,36.95626380984161,-0.05621565534135631
Sumgayit city,2000,3.0,16.0,15.0,-1.0,8.385632986227703,0.0
Absheron district,2000,6.0,10.2,83.3,73.1,29.38548873256914,0.006724713497258117
Khizi district,2000,61.0,342.0,113.5,-228.5,24.280208660732214,-0.08211878424273966
Daghlig Shirvan economic region,2000,199.0,1385.0,1654.4,269.4000000000001,59.74241811091287,0.024584743793086394
Aghsu district,2000,49.0,271.0,483.20000000000005,212.20000000000005,18.056256693930266,0.03364883085443804
Ismayilli district,2000,35.0,419.0,940.0,521.0,40.41299475326638,0.07705694059438195
Gobustan district,2000,74.0,428.0,83.5,-344.5,35.701503794495906,-0.05740086189296767
Shamakhi district,2000,41.0,267.0,147.7,-119.30000000000001,26.186014839765246,-0.012082279526127837
Ganja-Dashkasan economic region,2000,117.0,1031.0,1176.4,145.4000000000001,107.63129090840032,0.025094997853471357
Ganja city,2000,,3.0,10.6,7.6,5.116135465882736,
Naftalan city,2000,,0.0,3.9,3.9,0.4020779360604939,
Dashkasan district,2000,,0.0,0.0,0.0,,
Goranboy district,2000,13.0,341.0,439.2,98.19999999999999,56.16114173144729,0.0734057582107861
Goygol district,2000,19.0,157.0,377.3,220.3,29.672765718118,0.05879420848146033
Samukh district,2000,85.0,530.0,345.4,-184.60000000000002,54.13717413375402,-0.009718347870041333
Karabakh economic region,2000,688.0,5980.0,4406.6,-1573.3999999999996,279.2949098473989,0.004537405894025959
Khankandi city,2000,,0.0,0.0,0.0,,
Aghjabadi district,2000,41.0,274.0,130.5,-143.5,16.125512574709106,-0.0503344093418987
Aghdam district,2000,63.0,517.0,1102.0,585.0,120.00893686528612,0.05751541974898733
Aghdara district,2000,,0.0,0.0,0.0,,
Barda district,2000,360.0,1925.0,918.4,-1006.6,167.5641542726291,-0.046642916782950405
Fuzuli district,2000,54.0,1499.0,608.0,-891.0,93.47618467529189,0.036622363476181974
Khojaly district,2000,,6.0,63.0,57.0,6.977218568123577,
Khojavand district,2000,,2.0,54.6,52.6,4.2375017466228355,
Shusha district,2000,,0.0,0.0,0.0,0.4830458915396479,
Tartar district,2000,170.0,1757.0,1530.0,-227.0,60.599899555089664,0.019655805599434917
Gazakh-Tovuz economic region,2000,2193.0,7627.0,3570.0,-4057.0,538.7079332243406,-0.049164536565997397
Aghstafa district,2000,160.0,880.0,444.29999999999995,-435.70000000000005,47.93930322270299,-0.020914413474765636
Gadabay district,2000,,0.0,35.699999999999996,35.699999999999996,1.6879284831125294,
Gazakh district,2000,80.0,511.0,643.0,132.0,25.478002731540904,0.019593264086827045
Shamkir district,2000,145.0,534.0,2100.0,1566.0,135.5458904054162,0.044072881005222664
Tovuz district,2000,146.0,792.0,347.0,-445.0,86.9884112721469,-0.03145599830014756
Guba-Khachmaz economic region,2000,857.0,4346.0,3758.1000000000004,-587.8999999999996,97.30566800224085,-0.00382468629141397
Khachmaz district,2000,536.0,2568.0,1390.4,-1177.6,115.46195778546358,-0.026616729686323115
Guba district,2000,138.0,779.0,823.3,44.299999999999955,12.097196195693506,0.008064259912473837
Gusar district,2000,131.0,675.0,1340.0,665.0,50.723872406235486,0.035924947891572634
Siyazan district,2000,11.0,74.0,60.5,-13.5,4.8859585118695135,-0.00773910591559146
Shabran district,2000,41.0,250.0,143.8,-106.19999999999999,20.832805790422213,-0.019119345504891916
Lankaran-Astara economic region,2000,1252.0,6565.0,6851.400000000001,286.40000000000055,295.9237548688043,0.002542554256219187
Astara district,2000,81.0,890.0,1709.6,819.5999999999999,99.10458975317403,0.06482950142036903
Jalilabad district,2000,340.0,1905.0,192.70000000000002,-1712.3,165.55333563056288,-0.09901719491593586
Lerik district,2000,4.0,32.0,134.0,102.0,8.98902309663759,0.09234104895622774
Lankaran district,2000,821.0,3648.0,3142.5,-505.5,132.8451484253186,-0.015874803947292127
Masalli district,2000,,30.0,1579.0,1549.0,174.70180107327346,
Yardimli district,2000,6.0,60.0,93.60000000000001,33.60000000000001,4.999275309801252,0.05419692311932911
Central Aran economic region,2000,879.0,7447.0,7153.0,-294.0,384.3739516540434,0.021628583222845332
Mingachevir city,2000,,4.0,18.7,14.7,1.6144236235770448,
Agdash district,2000,208.0,1316.0,1299.5,-16.5,92.44237208010784,0.0060035780885472345
Goychay district,2000,77.0,606.0,241.5,-364.5,37.656559901605306,-0.0138270396156851
Kurdamir district,2000,383.0,3690.0,2619.6,-1070.4,231.27638776198467,0.0089022733346793
Ujar district,2000,87.0,738.0,2425.0,1687.0,122.04228300298102,0.08381737546281176
Yevlakh district,2000,102.0,975.0,416.40000000000003,-558.5999999999999,120.62767245669147,-0.005044344246903254
Zardab district,2000,22.0,118.0,132.4,14.400000000000006,18.382559078128093,0.007120908527838754
Mil-Mughan economic region,2000,752.0,3806.0,6182.800000000001,2376.800000000001,232.6305877616244,0.02314716765035718
Beylagan district,2000,47.0,327.0,1029.0,702.0,52.10314116097589,0.06941077976418053
Imishli district,2000,280.0,1468.0,208.5,-1259.5,115.76761385062174,-0.07569911844591448
Saatli district,2000,107.0,678.0,638.3,-39.700000000000045,49.486201963604046,0.0101575869750965
Sabirabad district,2000,318.0,1333.0,4306.9,2973.8999999999996,259.9933410170122,0.04483416150771746
Shaki-Zagatala economic region,2000,1067.0,6334.0,7031.0,697.0,222.3250399882953,0.01225207275214757
Balakan district,2000,507.0,2860.0,3402.0,542.0,48.92679758311523,0.014092056492806648
Gakh district,2000,45.0,286.0,288.4,2.3999999999999773,17.639282166866057,0.009553572919527076
Gabala district,2000,249.0,1254.0,609.0,-645.0,126.02863718736448,-0.033030049980434684
Oghuz district,2000,27.0,195.0,229.39999999999998,34.39999999999998,11.824474128086928,0.023628881508550137
Shaki district,2000,91.0,555.0,674.2,119.20000000000005,40.5167061625309,0.01431931145893528
Zagatala district,2000,148.0,1184.0,1828.0,644.0,58.65719620529664,0.040520490482829574
Eastern Zangazur economic region,2000,,0.0,34.0,34.0,2.4429971948648745,
Jabrayil district,2000,,0.0,23.5,23.5,0.9606132300659709,
Kalbajar district,2000,,0.0,0.0,0.0,,
Gubadli district,2000,,0.0,0.3,0.3,0.6132378054724007,
Lachin district,2000,,0.0,2.5,2.5,1.741048534648015,
Zangilan district,2000,,0.0,7.699999999999999,7.699999999999999,0.5715476066494082,
Shirvan-Salyan economic region,2000,708.0,5450.0,3582.8999999999996,-1867.1000000000004,359.17723610831155,0.002636432436959879
Shirvan city,2000,,10.0,83.6,73.6,7.080765015277729,
Bilasuvar district,2000,140.0,1762.0,678.5999999999999,-1083.4,268.62980938971316,-0.0023256168258268817
Hajigabul district,2000,168.0,881.0,585.0,-296.0,36.55547204225223,-0.015974244699772044
Neftchala district,2000,35.0,213.0,186.5,-26.5,5.9873038983347495,0.0013463317462709679
Salyan district,2000,365.0,2584.0,2049.3,-534.6999999999998,112.13135663722414,0.008554960598263106
*  It is not included sown area of covered lands in 2000-2007,2000,,0.0,0.0,0.0,,
Republic of Azerbaijan,2001,9911.4,52972.4,54696.7,1724.2999999999956,1863.7612713283918,0.0063279727239569095
Baku city,2001,25.0,167.0,908.0,741.0,83.71170982794963,0.08424552853939438
Nakhchivan Autonomous Republic,2001,1454.0,7376.0,8176.0,800.0,356.6931182118743,-0.04129735415946989
Nakhchivan city,2001,,0.0,577.0,577.0,46.93870290139428,
Babak district,2001,834.0,3688.0,2610.0,-1078.0,157.69983871404176,-0.07508632847251817
Julfa district,2001,43.0,289.0,324.0,35.0,37.85094240015313,-0.04844368521061693
Kangarli district,2001,,80.0,386.1,306.1,21.61455345485147,
Ordubad district,2001,111.0,737.0,653.8,-83.20000000000005,39.39808996326628,-0.15065149509567122
Sadarak district,2001,10.0,123.0,500.0,377.0,43.936383523242434,0.14073737530992347
Shahbuz district,2001,51.0,327.0,209.0,-118.0,22.668211797293505,-0.09680576022891418
Sharur district,2001,405.0,2132.0,2916.0,784.0,103.02489322095124,-0.02094144625987282
Absheron-Khizi economic region,2001,71.2,368.2,211.79999999999998,-156.4,36.95626380984161,-0.05621565534135631
Sumgayit city,2001,3.0,16.0,15.0,-1.0,8.385632986227703,0.0
