Setting,year,cucumber_prod,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,104770.0,695591.0,1188016.4000000001,492425.40000000014,37760.6548228722,0.032735092216525485
Baku city,2000,221.0,5776.0,34796.3,29020.300000000003,2787.648597140842,0.14642936552699237
Nakhchivan Autonomous Republic,2000,11000.0,66534.0,127258.7,60724.7,7319.983722173188,-0.0201254420411634
Nakhchivan city,2000,,0.0,6077.3,6077.3,531.4341710904695,
Babak district,2000,5580.0,30500.0,36943.8,6443.800000000003,2057.4099336301456,-0.05954175701413167
Julfa district,2000,367.0,3629.0,4683.4,1054.3999999999996,840.2868112406189,-0.030734149948442036
Kangarli district,2000,,752.0,6104.7,5352.7,414.3172853273837,
Ordubad district,2000,498.0,3906.0,5656.6,1750.6000000000004,353.4593942814324,-0.11695408998770607
Sadarak district,2000,90.0,1522.0,5561.9,4039.8999999999996,618.1790953234569,0.09435842954156048
Shahbuz district,2000,141.0,2396.0,2507.2999999999997,111.29999999999973,533.4692399584854,-0.0444084838392258
Sharur district,2000,4324.0,23829.0,59723.8,35894.8,3594.0107098628264,-0.000854625966719591
Absheron-Khizi economic region,2000,456.0,3912.0,16368.1,12456.1,1285.9051197263373,0.05972387888989794
Sumgayit city,2000,8.0,105.0,215.6,110.6,54.74536840974623,0.07629277167769843
Absheron district,2000,75.0,1643.0,15196.400000000001,13553.400000000001,1355.801903869526,0.1424061515524806
Khizi district,2000,373.0,2164.0,956.0,-1208.0,160.9505673954818,-0.06227746722034888
Daghlig Shirvan economic region,2000,1403.0,9112.0,17432.6,8320.599999999999,664.4479674506315,0.044646990755917715
Aghsu district,2000,274.0,1409.0,6439.799999999999,5030.799999999999,421.5757517846035,0.07637612600217047
Ismayilli district,2000,226.0,3404.0,9429.0,6025.0,454.8607686320944,0.09946128499296147
Gobustan district,2000,165.0,1152.0,406.1,-745.9,104.22694919456195,-0.02175074084243278
Shamakhi district,2000,738.0,3147.0,1157.7,-1989.3,247.8301065670079,-0.04735644871138389
Ganja-Dashkasan economic region,2000,1115.0,9109.0,22889.399999999998,13780.399999999998,1182.0319482427988,0.06943795334871106
Ganja city,2000,,361.0,121.1,-239.9,308.2956327015632,
Naftalan city,2000,,0.0,36.9,36.9,3.3986422628410344,
Goranboy district,2000,12.0,2818.0,4928.400000000001,2110.4000000000005,474.3080909545267,0.21201028271954292
Goygol district,2000,27.0,469.0,4678.9,4209.9,377.77944602235374,0.1612663352476187
Samukh district,2000,1076.0,5461.0,13124.1,7663.1,614.473642891191,0.05078148142018035
Karabakh economic region,2000,6477.0,70018.0,77223.3,7205.300000000003,3118.838700585803,0.029800517766547463
Khankandi city,2000,,0.0,0.0,0.0,,
Aghjabadi district,2000,324.0,2186.0,2236.0,50.0,222.838147379519,-0.02901530713119438
Aghdam district,2000,211.0,6871.0,20768.5,13897.5,2545.055768583328,0.14057941848942845
Aghdara district,2000,,0.0,0.0,0.0,,
Barda district,2000,5600.0,31110.0,25674.6,-5435.4000000000015,1571.7757176730613,-0.029342061140298026
Fuzuli district,2000,97.0,11665.0,6255.5,-5409.5,728.1481023578866,0.11830218294537809
Khojaly district,2000,,43.0,395.0,352.0,56.92825586463609,
Khojavand district,2000,,20.0,550.5,530.5,42.700349745886776,
Shusha district,2000,,0.0,0.0,0.0,2.330951164939612,
Tartar district,2000,245.0,18123.0,21343.2,3220.2000000000007,932.0306300558575,0.12934058659767267
Gazakh-Tovuz economic region,2000,7525.0,38077.0,180939.6,142862.6,10981.460538826204,0.07581122927198569
Aghstafa district,2000,1881.0,9944.0,8103.700000000001,-1840.2999999999993,662.3888067338033,-0.0015397975736562985
Gadabay district,2000,,0.0,462.0,462.0,21.6604419066127,
Gazakh district,2000,1200.0,9455.0,23955.0,14500.0,1219.8351872519381,0.05705952490668498
Shamkir district,2000,2838.0,9149.0,140398.0,131249.0,10856.202208715613,0.11170953681487994
Tovuz district,2000,1606.0,9529.0,8020.900000000001,-1508.0999999999995,1294.7403853626913,0.005566259349043534
Guba-Khachmaz economic region,2000,16587.0,82901.0,74931.3,-7969.699999999997,1756.8059804729041,-0.0020324755471056166
Khachmaz district,2000,13137.0,63155.0,42401.9,-20753.1,2166.501108274768,-0.01729870032658254
Guba district,2000,881.0,6139.0,7677.5,1538.5,183.99830216411067,0.024746416922598158
Gusar district,2000,2264.0,11440.0,22224.800000000003,10784.800000000003,795.9756297704132,0.03465054351010277
Siyazan district,2000,101.0,566.0,833.2,267.20000000000005,74.9837098250709,-0.010353141906871755
Shabran district,2000,204.0,1601.0,1793.8999999999999,192.89999999999986,148.62103098636234,0.03532411146952974
Lankaran-Astara economic region,2000,25504.0,181231.0,158854.9,-22376.100000000006,7831.995214252167,0.009157982747374449
Astara district,2000,2001.0,18677.0,30137.0,11460.0,1751.3448057487674,0.05242835547999758
Jalilabad district,2000,3367.0,18422.0,5167.6,-13254.4,1459.6529212229811,-0.07280528015487875
Lerik district,2000,51.0,480.0,1746.2,1266.2,126.11387854760014,0.09751260921418892
Lankaran district,2000,19965.0,92937.0,72947.3,-19989.699999999997,4219.244395981982,-0.016563306415784407
Masalli district,2000,,49838.0,47705.600000000006,-2132.399999999994,2454.8076869524725,
Yardimli district,2000,120.0,877.0,1151.2,274.20000000000005,63.49139562838873,0.02863190125642423
Central Aran economic region,2000,8153.0,60842.0,139352.09999999998,78510.09999999998,5579.270645412757,0.05730882258423242
Mingachevir city,2000,,51.0,115.6,64.6,13.375957724936503,
Agdash district,2000,1960.0,12591.0,40023.3,27432.300000000003,2046.4445266624068,0.06352511850908793
Goychay district,2000,1170.0,10481.0,26562.2,16081.2,1353.3137850465803,0.07958875662530085
Kurdamir district,2000,2306.0,23202.0,40262.4,17060.4,1691.4986620437073,0.04963486974855358
Ujar district,2000,230.0,3257.0,23928.6,20671.6,1445.1661462829522,0.1489543723697726
Yevlakh district,2000,1700.0,9608.0,5463.8,-4144.2,1139.1785767747779,-0.01519772453505408
Zardab district,2000,787.0,1652.0,2996.2,1344.1999999999998,250.21661340364355,-0.009185545370992143
