Setting,year,onion_area,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,9221.0,60042.0,57013.2,-3028.800000000003,1526.7819914988575,0.0078077775851614906
Baku city,2000,10.0,67.0,19.9,-47.1,6.760594208941328,-0.038023383342834394
Nakhchivan Autonomous Republic,2000,288.0,2034.0,1931.9,-102.09999999999991,67.7785640892458,-0.00972979844294386
Nakhchivan city,2000,,0.0,102.0,102.0,6.714777382320105,
Babak district,2000,70.0,656.0,160.0,-496.0,50.84161253557357,-0.14322535289462068
Julfa district,2000,41.0,232.0,198.0,-34.0,22.488604199473556,-0.08742416822555743
Kangarli district,2000,,33.0,136.9,103.9,8.968569386591446,
Ordubad district,2000,36.0,280.0,272.0,-8.0,16.43162160000641,-0.14427410585162026
Sadarak district,2000,3.0,45.0,136.0,91.0,10.336985095740692,-0.017474437478738114
Shahbuz district,2000,16.0,93.0,46.0,-47.0,7.471200745510064,-0.11356487371887802
Sharur district,2000,122.0,695.0,881.0,186.0,33.13170905533755,0.02431549035443603
Absheron-Khizi economic region,2000,28.0,97.0,45.199999999999996,-51.800000000000004,6.435634491201922,-0.05100015496612231
Sumgayit city,2000,2.0,8.0,1.0,-7.0,2.366431913239847,
Absheron district,2000,1.0,16.0,44.199999999999996,28.199999999999996,3.6335294455782328,0.09694803853982181
Khizi district,2000,25.0,73.0,0.0,-73.0,6.16255824986722,
Daghlig Shirvan economic region,2000,283.0,1416.0,810.6999999999999,-605.3000000000001,93.42405182898527,-0.0407872783780161
Aghsu district,2000,84.0,244.0,267.59999999999997,23.599999999999966,32.60095913055142,-0.013955060917440032
Ismayilli district,2000,98.0,729.0,467.0,-262.0,49.05673659954463,-0.0530111455144624
Gobustan district,2000,56.0,247.0,28.3,-218.7,20.270385605821506,-0.07508935216304624
Shamakhi district,2000,45.0,196.0,47.8,-148.2,27.353732225542217,-0.0613131588861997
Ganja-Dashkasan economic region,2000,330.0,1688.0,783.0999999999999,-904.9000000000001,191.8069908032929,-0.032675537374440955
Ganja city,2000,,3.0,2.1,-0.8999999999999999,2.0892232530702866,
Naftalan city,2000,,0.0,1.5,1.5,0.18898223650461363,
Goranboy district,2000,132.0,714.0,95.3,-618.7,138.14322061604727,-0.07917334800604625
Goygol district,2000,141.0,654.0,412.4,-241.60000000000002,26.775410523382313,-0.026290706677721265
Samukh district,2000,57.0,317.0,271.8,-45.19999999999999,44.60344027155272,-0.0007692508051866387
Karabakh economic region,2000,2335.0,16629.0,23807.8,7178.799999999999,860.9496635625138,0.03162520332868213
Aghjabadi district,2000,334.0,1513.0,3060.7000000000003,1547.7000000000003,202.414225482144,0.0212228235131231
Aghdam district,2000,248.0,4793.0,14362.0,9569.0,901.64328139462,0.10392005791802794
Barda district,2000,1160.0,7860.0,4695.0,-3165.0,492.62329435881077,0.003774589236852588
Fuzuli district,2000,63.0,906.0,212.0,-694.0,75.91727715753835,0.0039631272059093
Khojaly district,2000,,0.0,8.5,8.5,0.5986094998689323,
Khojavand district,2000,11.0,101.0,737.7,636.7,74.4367895200886,0.16264376507115164
Shusha district,2000,,26.0,502.9,476.9,45.61286994656118,
Tartar district,2000,519.0,1430.0,229.0,-1201.0,147.4645806159292,-0.0812016858812542
Gazakh-Tovuz economic region,2000,2353.0,10463.0,10369.4,-93.60000000000036,327.24233928877294,-0.002193708796500493
Aghstafa district,2000,83.0,590.0,226.2,-363.8,49.141914427738655,-0.026738265552106788
Gadabay district,2000,,12.0,8.3,-3.6999999999999993,1.8891797161731332,
Gazakh district,2000,27.0,156.0,86.0,-70.0,21.623214511193783,-0.02523215297592507
Shamkir district,2000,953.0,4753.0,9247.0,4494.0,330.89820668659684,0.03196245734326841
Tovuz district,2000,161.0,1133.0,801.9,-331.1,44.71204953017034,0.011744792796440029
Guba-Khachmaz economic region,2000,586.0,3542.0,2253.9,-1288.1,146.21380705387713,-0.022110355746510102
Khachmaz district,2000,308.0,1735.0,634.5,-1100.5,109.7926714609028,-0.03811622034446427
