Setting,year,onion_prod,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,88770.0,632480.0,1413942.2999999998,781462.2999999998,56466.804180954605,0.055914224381547806
Baku city,2000,69.0,409.0,185.0,-224.0,162.51293705470013,-0.022899156114580155
Nakhchivan Autonomous Republic,2000,2155.0,19077.0,29686.4,10609.400000000001,1034.0523769427105,0.04937076878106472
Nakhchivan city,2000,,0.0,420.0,420.0,25.93846161301154,
Babak district,2000,284.0,6634.0,1995.1,-4638.9,714.4801588380103,-0.0999545442939832
Julfa district,2000,350.0,2096.0,1597.3,-498.70000000000005,229.28042411081412,-0.08444979403796171
Kangarli district,2000,,328.0,2049.4,1721.4,136.92211616366745,
Ordubad district,2000,150.0,1443.0,2365.2,922.1999999999998,155.26024155815182,-0.12475280097253238
Sadarak district,2000,12.0,520.0,1070.4,550.4000000000001,112.42047334043278,0.010905156769663638
Shahbuz district,2000,30.0,419.0,372.79999999999995,-46.200000000000045,94.70584168505849,-0.0800726305384859
Sharur district,2000,1329.0,7637.0,19816.2,12179.2,1092.3537553760036,0.07043984561878025
Absheron-Khizi economic region,2000,85.0,527.0,534.7,7.7000000000000455,45.189990034025925,0.008809869282271565
Sumgayit city,2000,8.0,32.0,0.0,-32.0,13.163501729318751,
Absheron district,2000,6.0,135.0,534.7,399.70000000000005,43.34925216244772,0.13204694919461457
Khizi district,2000,71.0,360.0,0.0,-360.0,35.04283093587046,
Daghlig Shirvan economic region,2000,2894.0,13520.0,8134.4000000000015,-5385.5999999999985,669.5607775121007,-0.042705008364162245
Aghsu district,2000,551.0,1663.0,2771.1000000000004,1108.1000000000004,198.42389074067333,0.007599209202637347
Ismayilli district,2000,1507.0,8962.0,4884.0,-4078.0,476.37854117576876,-0.06914519376899053
Gobustan district,2000,167.0,637.0,133.6,-503.4,59.470605941208404,-0.052765301365366724
Shamakhi district,2000,669.0,2258.0,345.70000000000005,-1912.3,251.43872618465582,-0.09532311654892944
Ganja-Dashkasan economic region,2000,1335.0,9880.0,9957.800000000001,77.80000000000109,1815.6829491637734,0.02040771913091377
Ganja city,2000,,18.0,28.1,10.100000000000001,21.311313402682817,
Naftalan city,2000,,0.0,1.5,1.5,2.796681707207413,
Goranboy district,2000,117.0,3924.0,998.8000000000001,-2925.2,1399.7143782919075,0.03857184556934112
Goygol district,2000,723.0,3349.0,4716.0,1367.0,283.88842151374405,0.010148136509281258
Samukh district,2000,495.0,2589.0,4213.400000000001,1624.4000000000005,355.7656046258303,0.027879519655970686
Karabakh economic region,2000,21885.0,189316.0,767940.6,578624.6,45583.47705640591,0.09407163047453126
Aghjabadi district,2000,4592.0,21264.0,133078.59999999998,111814.59999999998,8839.722813019336,0.07954515161721565
Aghdam district,2000,1602.0,62344.0,394751.30000000005,332407.30000000005,26499.44180234876,0.1856797051491308
Barda district,2000,11300.0,83488.0,202541.0,119053.0,12432.551969002845,0.07093072647713994
Fuzuli district,2000,121.0,7080.0,3171.9,-3908.1,590.3218586444841,0.09813046981049678
Khojaly district,2000,,0.0,194.5,194.5,21.07928156060142,
Khojavand district,2000,66.0,949.0,20613.7,19664.7,1963.0825552005217,0.22617586455906769
Shusha district,2000,,78.0,9159.1,9081.1,991.6884507411255,
Tartar district,2000,4204.0,14113.0,4430.6,-9682.4,1431.8766342294205,-0.040063446435743
Gazakh-Tovuz economic region,2000,17020.0,95134.0,270138.4,175004.40000000002,12658.358227600484,0.06026218774157743
Aghstafa district,2000,742.0,5758.0,4614.8,-1143.1999999999998,501.74904172261773,0.00966382938594057
Gadabay district,2000,,147.0,125.3,-21.700000000000003,65.76314486262211,
Gazakh district,2000,338.0,2176.0,2570.0,394.0,398.7579266396732,0.012521294741581368
Shamkir district,2000,14266.0,75102.0,244634.2,169532.2,12240.64261348294,0.06326136168054175
Tovuz district,2000,1674.0,11951.0,18194.1,6243.0999999999985,818.7981310446269,0.05303792027932208
Guba-Khachmaz economic region,2000,7893.0,48879.0,37086.5,-11792.5,1862.073207548978,-0.008753713110655759
Khachmaz district,2000,5467.0,31635.0,15162.3,-16472.7,1994.3903320322286,-0.02447156049846866
Guba district,2000,1004.0,8428.0,6921.5,-1506.5,606.7704239440058,-0.08000568473738179
Gusar district,2000,948.0,6576.0,13276.7,6700.700000000001,600.9681467932763,0.04747097762721375
Siyazan district,2000,22.0,190.0,1036.0,846.0,98.88112281560805,0.12142503606873789
Shabran district,2000,452.0,2050.0,690.0,-1360.0,150.68402009849444,-0.04780465998400618
Lankaran-Astara economic region,2000,13814.0,82913.0,80049.29999999999,-2863.7000000000116,4251.0851382259625,0.002833530371101789
Astara district,2000,3529.0,18304.0,22201.7,3897.7000000000007,1307.4145975863526,0.005771142731419099
Jalilabad district,2000,2402.0,17221.0,1682.0,-15539.0,1776.2002922702354,-0.11968847055383547
Lerik district,2000,603.0,9682.0,12758.9,3076.8999999999996,577.1887761514575,0.06522318387311055
Lankaran district,2000,4289.0,21945.0,25998.9,4053.9000000000015,2626.106923380189,0.004319707155352459
Masalli district,2000,2468.0,14871.0,10799.2,-4071.7999999999993,666.333515036479,-0.006100224692525358
Yardimli district,2000,523.0,890.0,6608.6,5718.6,475.1563150118624,0.03396299053528673
Central Aran economic region,2000,6002.0,59175.0,20797.5,-38377.5,4882.665170946712,-0.02055410273811209
Mingachevir city,2000,,21.0,8.700000000000001,-12.299999999999999,3.3120214621901085,
Agdash district,2000,1815.0,10303.0,913.5,-9389.5,1545.631712834922,-0.050985002122677536
Goychay district,2000,410.0,3359.0,584.9000000000001,-2774.1,301.9064633136888,-0.056086013785052846
Kurdamir district,2000,1628.0,18515.0,6435.7,-12079.3,1307.6962778869088,-0.02973910513458533
Ujar district,2000,658.0,7434.0,9467.8,2033.7999999999993,954.5619048259402,0.03882044090118386
Yevlakh district,2000,985.0,8374.0,1723.8,-6650.2,1180.7265996785225,-0.03512337901959084
Zardab district,2000,506.0,11169.0,1663.2,-9505.8,1098.3575499518506,-0.03152596080244541
Mil-Mughan economic region,2000,7945.0,66739.0,139306.9,72567.9,5535.4008396532645,0.0540507620374997
Beylagan district,2000,3056.0,17106.0,111287.5,94181.5,7237.069900833286,0.089999862426547
Imishli district,2000,1635.0,13750.0,848.8000000000001,-12901.2,1510.2055427819337,-0.11509758651536184
Saatli district,2000,741.0,7494.0,3312.1,-4181.9,909.6388757000124,-0.001032591370028646
Sabirabad district,2000,2513.0,28389.0,23858.5,-4530.5,1712.2296380203263,0.01649604714780195
Shaki-Zagatala economic region,2000,6825.0,37497.0,42108.1,4611.0999999999985,1080.7459589598154,0.007594287622999074
Balakan district,2000,1834.0,6777.0,6033.0,-744.0,289.75611934116625,-0.016427002408619384
Gakh district,2000,991.0,5741.0,1946.8999999999999,-3794.1000000000004,451.0962837668483,-0.04514250406227249
Gabala district,2000,554.0,2290.0,1494.0,-796.0,350.4977800793889,-0.044811635176106646
Oghuz district,2000,199.0,1277.0,2236.8,959.8000000000002,151.63158704045077,0.014034658385607246
Shaki district,2000,1600.0,9891.0,17240.9,7349.9000000000015,929.9021818492367,0.03332751740382678
Zagatala district,2000,1647.0,11521.0,13156.5,1635.5,272.5847422747915,0.021037547568434123
Eastern Zangazur economic region,2000,,0.0,1839.8999999999999,1839.8999999999999,265.23201289015753,
Jabrayil district,2000,,0.0,1413.5,1413.5,69.98972275746395,
Lachin district,2000,,0.0,95.0,95.0,250.87740902475525,
Gubadli district,2000,,0.0,308.1,308.1,,
Zangilan district,2000,,0.0,23.3,23.3,2.9734539800421613,
Shirvan-Salyan economic region,2000,848.0,9414.0,6176.599999999999,-3237.4000000000005,696.2320862837439,0.02953474173487458
Shirvan city,2000,,12.0,4.6,-7.4,2.687498290013136,
Bilasuvar district,2000,546.0,7731.0,2338.4,-5392.6,806.7489446600752,-0.007631020361824947
Hajigabul district,2000,81.0,182.0,378.5,196.5,24.015885946135274,-0.006759842189241749
Neftchala district,2000,134.0,536.0,288.8,-247.2,78.51185962292115,-0.06865572730100822
Salyan district,2000,87.0,953.0,3166.3,2213.3,261.6070947257921,0.11672690767258387
Republic of Azerbaijan,2001,115498.0,632480.0,1413942.2999999998,781462.2999999998,56466.804180954605,0.055914224381547806
Baku city,2001,63.0,409.0,185.0,-224.0,162.51293705470013,-0.022899156114580155
Nakhchivan Autonomous Republic,2001,3765.0,19077.0,29686.4,10609.400000000001,1034.0523769427105,0.04937076878106472
Nakhchivan city,2001,,0.0,420.0,420.0,25.93846161301154,
Babak district,2001,1771.0,6634.0,1995.1,-4638.9,714.4801588380103,-0.0999545442939832
Julfa district,2001,370.0,2096.0,1597.3,-498.70000000000005,229.28042411081412,-0.08444979403796171
Kangarli district,2001,,328.0,2049.4,1721.4,136.92211616366745,
Ordubad district,2001,183.0,1443.0,2365.2,922.1999999999998,155.26024155815182,-0.12475280097253238
Sadarak district,2001,80.0,520.0,1070.4,550.4000000000001,112.42047334043278,0.010905156769663638
Shahbuz district,2001,35.0,419.0,372.79999999999995,-46.200000000000045,94.70584168505849,-0.0800726305384859
Sharur district,2001,1326.0,7637.0,19816.2,12179.2,1092.3537553760036,0.07043984561878025
Absheron-Khizi economic region,2001,74.0,527.0,534.7,7.7000000000000455,45.189990034025925,0.008809869282271565
Sumgayit city,2001,8.0,32.0,0.0,-32.0,13.163501729318751,
Absheron district,2001,12.0,135.0,534.7,399.70000000000005,43.34925216244772,0.13204694919461457
Khizi district,2001,54.0,360.0,0.0,-360.0,35.04283093587046,
Daghlig Shirvan economic region,2001,2760.0,13520.0,8134.4000000000015,-5385.5999999999985,669.5607775121007,-0.042705008364162245
Aghsu district,2001,341.0,1663.0,2771.1000000000004,1108.1000000000004,198.42389074067333,0.007599209202637347
Ismayilli district,2001,1914.0,8962.0,4884.0,-4078.0,476.37854117576876,-0.06914519376899053
Gobustan district,2001,80.0,637.0,133.6,-503.4,59.470605941208404,-0.052765301365366724
Shamakhi district,2001,425.0,2258.0,345.70000000000005,-1912.3,251.43872618465582,-0.09532311654892944
Ganja-Dashkasan economic region,2001,1812.0,9880.0,9957.800000000001,77.80000000000109,1815.6829491637734,0.02040771913091377
Ganja city,2001,1.0,18.0,28.1,10.100000000000001,21.311313402682817,
Naftalan city,2001,,0.0,1.5,1.5,2.796681707207413,
Goranboy district,2001,993.0,3924.0,998.8000000000001,-2925.2,1399.7143782919075,0.03857184556934112
Goygol district,2001,414.0,3349.0,4716.0,1367.0,283.88842151374405,0.010148136509281258
Samukh district,2001,404.0,2589.0,4213.400000000001,1624.4000000000005,355.7656046258303,0.027879519655970686
Karabakh economic region,2001,36199.0,189316.0,767940.6,578624.6,45583.47705640591,0.09407163047453126
Aghjabadi district,2001,4952.0,21264.0,133078.59999999998,111814.59999999998,8839.722813019336,0.07954515161721565
Aghdam district,2001,14297.0,62344.0,394751.30000000005,332407.30000000005,26499.44180234876,0.1856797051491308
Barda district,2001,12750.0,83488.0,202541.0,119053.0,12432.551969002845,0.07093072647713994
Fuzuli district,2001,1892.0,7080.0,3171.9,-3908.1,590.3218586444841,0.09813046981049678
Khojaly district,2001,,0.0,194.5,194.5,21.07928156060142,
Khojavand district,2001,219.0,949.0,20613.7,19664.7,1963.0825552005217,0.22617586455906769
