Setting,year,potato_prod,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,469009.0,3469269.0,5188545.2,1719276.2000000002,154708.63830810125,0.03393688062707301
Baku city,2000,50.0,200.0,316.90000000000003,116.90000000000003,79.67720276412949,0.018835258172636316
Nakhchivan Autonomous Republic,2000,13454.0,73562.0,236335.3,162773.3,13563.97382516779,0.0288659328079659
Nakhchivan city,2000,,0.0,1643.2,1643.2,104.0841543005975,
Babak district,2000,2080.0,12214.0,33608.4,21394.4,2537.963849044736,-0.05807016385868591
Julfa district,2000,1236.0,8965.0,6900.7,-2064.3,1679.4624213612203,-0.09428932913182386
Kangarli district,2000,,1377.0,13892.2,12515.2,767.7842161221574,
Ordubad district,2000,1602.0,9797.0,34750.0,24953.0,2971.4185701177444,-0.0845536369749178
Sadarak district,2000,102.0,1406.0,6492.0,5086.0,654.3705447088895,0.09571953496614549
Shahbuz district,2000,322.0,3926.0,27182.8,23256.8,2740.840923110479,-0.025729824165790838
Sharur district,2000,8112.0,35877.0,111866.0,75989.0,5921.6165530578955,0.04742485001746011
Absheron-Khizi economic region,2000,510.0,3405.0,1382.9,-2022.1,200.6367667098857,-0.04013378786050026
Sumgayit city,2000,,0.0,25.8,25.8,22.6083014425597,
Absheron district,2000,30.0,975.0,471.1,-503.9,137.846544827749,0.0507151211176915
Khizi district,2000,480.0,2430.0,886.0,-1544.0,134.8029157212726,-0.06592700628999826
Daghlig Shirvan economic region,2000,7150.0,48796.0,88313.90000000001,39517.90000000001,3090.5260135479634,0.033576735103352906
Aghsu district,2000,69.0,666.0,7302.5,6636.5,533.8889709623317,0.14417878848639631
Ismayilli district,2000,2702.0,22987.0,64195.0,41208.0,3264.163445385112,0.061706624708388835
Gobustan district,2000,731.0,4446.0,4378.5,-67.5,336.38249706206494,-0.0020064347171165897
Shamakhi district,2000,3648.0,20697.0,12437.9,-8259.1,1094.3068306225186,-0.0190111950823163
Ganja-Dashkasan economic  region,2000,7951.0,67480.0,97886.6,30406.600000000006,8504.800102380377,0.019953194598011148
Ganja city,2000,5.0,92.0,275.3,183.3,61.34752294452134,
Naftalan city,2000,,0.0,125.7,125.7,9.063055464851486,
Dashkasan district,2000,3510.0,29379.0,40669.7,11290.699999999997,3830.088244071302,0.008994475480068598
Goranboy district,2000,490.0,6721.0,21245.199999999997,14524.199999999997,1500.6145478059834,0.08072230845197703
Goygol district,2000,2777.0,25140.0,21268.0,-3872.0,2706.5988761634544,0.004710780298605499
Samukh district,2000,1169.0,6148.0,14302.7,8154.700000000001,2453.2404514418436,0.02691257536519398
Karabakh economic region,2000,9242.0,89635.0,82949.9,-6685.100000000006,4564.922102655774,0.02727758202922459
Khankandi city,2000,,0.0,0.0,0.0,,
Aghjabadi district,2000,2383.0,13829.0,8866.4,-4962.6,775.6590117675627,-0.02395389341216403
Aghdam district,2000,500.0,22058.0,24894.0,2836.0,2419.1475048790057,0.09662906438447627
Aghdara district,2000,,0.0,0.0,0.0,,
Barda district,2000,3150.0,29755.0,8474.0,-21281.0,1884.757860798193,-0.0073241912066883685
Fuzuli district,2000,865.0,7667.0,9538.4,1871.3999999999996,431.5359450660605,0.035762794277319765
Khojaly district,2000,,1052.0,6712.9,5660.9,532.9655523577485,
Khojavand district,2000,,334.0,992.0,658.0,106.59097561178125,
Shusha district,2000,,128.0,187.5,59.5,40.84532379833065,
Tartar district,2000,2344.0,14812.0,23284.8,8472.8,1077.811357886159,0.03974263641966025
Gazakh-Tovuz economic region,2000,232769.0,1985972.0,2591964.4,605992.3999999999,94512.30642272373,0.034827834946856706
Aghstafa district,2000,4419.0,25123.0,96546.99999999999,71423.99999999999,6618.203000546997,0.04397425653384324
Gadabay district,2000,102289.0,646588.0,601319.7,-45268.30000000005,38578.91876050374,0.001345631404344294
Gazakh district,2000,3085.0,15249.0,195505.7,180256.7,15280.747107327501,0.12412728235685577
Shamkir district,2000,42126.0,372112.0,852696.8,480584.80000000005,34732.574223491734,0.06734679056969428
Tovuz district,2000,80850.0,926900.0,845895.2,-81004.80000000005,66502.17865244685,0.030134949423384683
Guba-Khachmaz economic region,2000,31762.0,204409.0,264505.39999999997,60096.399999999965,6765.717370278835,0.021664621691571462
Khachmaz district,2000,12618.0,67089.0,37421.7,-29667.300000000003,3237.8705590824948,-0.028903198155938226
Guba district,2000,6334.0,46572.0,63157.8,16585.800000000003,1566.1460859730473,0.03213345104195353
Gusar district,2000,12389.0,87230.0,158373.7,71143.70000000001,6055.508528459254,0.04121127230411914
Siyazan district,2000,147.0,1118.0,1014.0,-104.0,69.97577220475794,0.0063402693115277575
Shabran district,2000,274.0,2400.0,4538.2,2138.2,200.99553081050607,0.05449082985425613
Lankaran-Astara economic region,2000,111981.0,627034.0,1184018.5,556984.5,40935.090288882566,0.0344273856144095
Astara district,2000,11235.0,52181.0,39716.9,-12464.099999999999,2335.7685964921047,-0.016756476024243905
Jalilabad district,2000,73069.0,408622.0,906330.0,497708.0,39761.08597609211,0.04147461590245527
Lerik district,2000,11292.0,66889.0,99707.5,32818.5,2704.5792091705384,0.030030656774488795
Lankaran district,2000,4767.0,32306.0,20332.4,-11973.599999999999,1470.9495699687682,-0.0026187393649963475
Masalli district,2000,6820.0,42295.0,77098.9,34803.899999999994,8044.444238726619,0.03746776234460736
Yardimli district,2000,4798.0,24741.0,40832.8,16091.800000000003,1318.3465948141147,0.019963276875325064
Central Aran economic region,2000,21262.0,122036.0,134439.09999999998,12403.099999999977,6952.57561010197,0.005877225017877352
Mingachevir city,2000,,295.0,251.1,-43.900000000000006,40.945872397632,
Agdash district,2000,2408.0,23422.0,12220.3,-11201.7,5425.598376054272,0.012693754912943112
Goychay district,2000,659.0,4166.0,12580.9,8414.9,638.207661774051,0.06845820832495098
Kurdamir district,2000,16629.0,74617.0,61830.399999999994,-12786.600000000006,1981.974639182429,-0.028829015431838134
Ujar district,2000,442.0,6596.0,20235.1,13639.099999999999,1408.9038262337451,0.09924755363966131
Yevlakh district,2000,542.0,7541.0,7152.8,-388.1999999999998,1885.6741947366336,0.04727554788075161
Zardab district,2000,582.0,5399.0,20168.5,14769.5,1366.6604468332307,0.08851515386695952
Mil-Mughan economic region,2000,13132.0,85284.0,202281.8,116997.79999999999,8514.292402471425,0.05215481044754022
