Setting,year,potato_yield,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,84.0,565.0,917.1,352.1,25.635586890441797,0.038347360087710225
Baku city,2000,39.0,263.0,296.6,33.60000000000002,25.656345477115533,0.021769281830458898
Nakhchivan Autonomous Republic,2000,93.0,481.0,886.5,405.5,33.787968176234884,0.04599225583791666
Nakhchivan city,2000,,0.0,543.6,543.6,18.94943154509794,
Babak district,2000,160.0,778.0,873.3000000000001,95.30000000000007,11.064841007521938,0.008548170225280316
Julfa district,2000,98.0,491.0,550.7,59.700000000000045,4.923058360733539,0.002165886043772769
Kangarli district,2000,,135.0,661.5999999999999,526.5999999999999,2.3120052813634833,
Ordubad district,2000,59.0,309.0,740.9,431.9,35.21947722620193,0.04140365532119916
Sadarak district,2000,102.0,695.0,713.5,18.5,30.93453085591185,0.026368660368555563
Shahbuz district,2000,22.0,222.0,743.1,521.1,48.67331631412116,0.08011901700012092
Sharur district,2000,107.0,549.0,955.0,406.0,35.54160962157952,0.042711343005595204
Absheron-Khizi economic region,2000,53.0,366.0,464.1,98.10000000000002,12.703781674784077,0.030042757207089377
Sumgayit city,2000,,0.0,129.29999999999998,129.29999999999998,50.675974699700696,
Absheron district,2000,43.0,543.0,606.3,63.299999999999955,48.02599510196116,0.05055822756057582
Khizi district,2000,80.0,340.0,440.5,100.5,11.117924390533656,0.009749109475629458
Daghlig Shirvan economic region,2000,58.0,314.0,605.9,291.9,24.273853873747736,0.030285496722674887
Aghsu district,2000,46.0,203.0,431.29999999999995,228.29999999999995,19.59370970860106,0.029161361210281678
Ismayilli district,2000,77.0,393.0,738.3000000000001,345.30000000000007,27.477125862290873,0.028238570838994503
Gobustan district,2000,18.0,108.0,530.2,422.20000000000005,43.3939912690786,0.06987469464988139
Shamakhi district,2000,76.0,397.0,372.9,-24.100000000000023,6.635083248169907,-0.004192354213304106
Ganja-Dashkasan economic  region,2000,,0.0,528.6,528.6,5.927455379227015,
Ganja city,2000,,210.0,284.1,74.10000000000002,30.94120910780042,
Naftalan city,2000,,0.0,450.0,450.0,1.5566235649883127,
Dashkasan district,2000,24.0,227.0,503.29999999999995,276.29999999999995,25.046591005853326,0.06447440433169138
Goranboy district,2000,43.0,283.0,545.7,262.70000000000005,21.21098592505882,0.04168362224546662
Goygol district,2000,39.0,300.0,481.5,181.5,18.76861346635055,0.03998875301794458
Samukh district,2000,63.0,358.0,681.8000000000001,323.80000000000007,41.870527665131256,0.0343856194771901
Karabakh economic region,2000,,0.0,680.5999999999999,680.5999999999999,6.664273812993088,
Khankandi city,2000,,0.0,0.0,0.0,,
Aghjabadi district,2000,130.0,635.0,644.7,9.700000000000045,2.129498648215965,0.001188349469515737
Aghdam district,2000,49.0,674.0,818.1,144.10000000000002,28.09120723488123,0.054178396746367596
Aghdara district,2000,,0.0,0.0,0.0,,
Barda district,2000,90.0,515.0,608.9000000000001,93.90000000000009,13.371936192497774,0.01543179807437145
Fuzuli district,2000,102.0,432.0,623.4,191.39999999999998,16.854361238374572,0.00895023532214445
Khojaly district,2000,,207.0,899.9,692.9,40.01785315866621,
Khojavand district,2000,,84.0,457.6,373.6,10.582231604486559,
Shusha district,2000,,60.0,563.0,503.0,33.56918938834354,
Tartar district,2000,86.0,437.0,601.8,164.79999999999995,13.622923987566493,0.02412358706955109
Gazakh-Tovuz economic region,2000,,0.0,1071.4,1071.4,31.394866401429972,
Aghstafa district,2000,82.0,454.0,1510.5,1056.5,92.21377327646915,0.05793778688721263
