Setting,year,tomato_prod,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,337750.0,2016286.0,3952058.4000000004,1935772.4000000004,147914.1752195477,0.040704504820237464
Baku city,2000,243.0,17168.0,404803.7,387635.7,32182.885541109514,0.30067740875749704
Nakhchivan Autonomous Republic,2000,13915.0,85357.0,146767.5,61410.5,7528.5118318689365,-0.023177784496340448
Nakhchivan city,2000,,0.0,5822.8,5822.8,454.9767008327499,
Babak district,2000,5385.0,28521.0,39501.899999999994,10980.899999999994,2136.9976292390193,-0.055259864856593954
Julfa district,2000,1258.0,8106.0,5944.5,-2161.5,1610.103756710476,-0.06854487745904725
Kangarli district,2000,,929.0,7147.6,6218.6,469.04233127332526,
Ordubad district,2000,796.0,6985.0,10046.5,3061.5,580.5498888641224,-0.1310049912393415
Sadarak district,2000,187.0,4774.0,6178.1,1404.1000000000004,482.6941127708346,0.04727067212478775
Shahbuz district,2000,166.0,4003.0,2963.9,-1039.1,809.6989195199282,-0.04689333968232168
Sharur district,2000,6123.0,32039.0,69162.2,37123.2,3895.6497646250473,-0.005574985841816371
Absheron-Khizi economic region,2000,876.0,8987.0,617579.5,608592.5,52560.921590998136,0.2601055310717719
Sumgayit city,2000,18.0,162.0,2016.3000000000002,1854.3000000000002,154.7572301113558,0.1477252717366042
Absheron district,2000,548.0,7158.0,611475.9,604317.9,52213.95655814706,0.2855830106068782
Khizi district,2000,310.0,1667.0,4087.3,2420.3,239.44328270815612,0.05741676441535937
Daghlig Shirvan economic region,2000,2280.0,13781.0,15178.800000000001,1397.800000000001,366.65428796627754,0.013736347412640404
Aghsu district,2000,226.0,1808.0,5706.6,3898.6000000000004,339.67224825099277,0.07301957010494431
Ismayilli district,2000,368.0,4313.0,7388.0,3075.0,273.4360535158428,0.06327420780201187
Gobustan district,2000,204.0,1381.0,789.2,-591.8,111.7419461806169,-0.002858799991605876
Shamakhi district,2000,1482.0,6279.0,1295.0,-4984.0,421.0887241700832,-0.07027984413883015
Ganja-Dashkasan economic  region,2000,2396.0,17296.0,59051.2,41755.2,3234.920686380721,0.06551440803278696
Ganja city,2000,8.0,244.0,59.8,-184.2,242.45517798828988,
Naftalan city,2000,,0.0,96.9,96.9,9.96549174105451,
Goranboy district,2000,122.0,5622.0,17559.0,11937.0,1618.1522083152013,0.15913834355200995
Goygol district,2000,500.0,3712.0,6330.9,2618.8999999999996,311.47600295474876,0.03047889753299704
Samukh district,2000,1766.0,7718.0,35004.6,27286.6,2147.2137588080263,0.051753246852620505
Karabakh economic region,2000,7815.0,56846.0,89701.6,32855.600000000006,2944.4260196051005,0.0330759340352611
Khankandi city,2000,,0.0,0.0,0.0,,
Aghjabadi district,2000,725.0,5983.0,3765.8,-2217.2,370.02367335155697,-0.002877901989807863
Aghdam district,2000,548.0,5411.0,34481.0,29070.0,2914.525158680177,0.11585568644507194
Aghdara district,2000,,0.0,0.0,0.0,,
Barda district,2000,5650.0,28700.0,25611.4,-3088.5999999999985,1617.4409118746185,-0.024071314833330915
Fuzuli district,2000,130.0,7031.0,9266.8,2235.7999999999993,482.65824047813504,0.11952222079831953
Khojaly district,2000,,128.0,535.6,407.6,43.199239411293874,
Khojavand district,2000,,56.0,572.5,516.5,42.62855325520183,
Shusha district,2000,,0.0,10.9,10.9,4.668365491650837,
Tartar district,2000,762.0,9537.0,15457.7,5920.700000000001,656.1905989541432,0.07353767995680549
Gazakh-Tovuz economic region,2000,35487.0,284254.0,906656.6000000001,622402.6000000001,53861.295814978526,0.07503009828289287
Aghstafa district,2000,6120.0,33446.0,18576.4,-14869.599999999999,2358.8114822136995,-0.010595207334080814
Gadabay district,2000,,0.0,268.79999999999995,268.79999999999995,17.574373096744864,
Gazakh district,2000,6175.0,42817.0,42546.0,-271.0,2000.8540060742037,0.007602292261739363
Shamkir district,2000,19181.0,188176.0,805778.8,617602.8,53629.419000490256,0.09935532784921564
Tovuz district,2000,4011.0,19815.0,39486.600000000006,19671.600000000006,2752.36952850617,0.015897412871708427
Guba-Khachmaz economic region,2000,105884.0,503922.0,417511.9,-86410.09999999998,10555.45980416643,-0.008340369413373794
Khachmaz district,2000,97753.0,454610.0,330762.39999999997,-123847.60000000003,12636.858072895047,-0.017421743981087423
Guba district,2000,2006.0,12338.0,42428.5,30090.5,2461.5874338178014,0.08016653833513265
Gusar district,2000,2663.0,16515.0,26748.4,10233.400000000001,1013.7050349934218,0.04501785691371829
Siyazan district,2000,187.0,1088.0,1253.2,165.20000000000005,274.1670313640145,-0.0018991860427439722
Shabran district,2000,3275.0,19371.0,16319.400000000001,-3051.5999999999985,1441.625186368154,-0.007544079997721553
Lankaran-Astara economic region,2000,106206.0,605165.0,296923.3,-308241.7,32145.595404664957,-0.027405463578316414
Astara district,2000,8323.0,59002.0,37364.0,-21638.0,5551.203850165021,-0.0018389597889391096
Jalilabad district,2000,4098.0,17632.0,4832.799999999999,-12799.2,1384.2607696026316,-0.10831280816042321
Lerik district,2000,723.0,2472.0,2403.6,-68.40000000000009,202.0015985013521,-0.008305627971985752
Lankaran district,2000,71279.0,397049.0,167457.7,-229591.3,22565.20715906949,-0.03805228821683404
Masalli district,2000,20893.0,125447.0,83707.9,-41739.100000000006,4819.707975666837,-0.007084792076165303
Yardimli district,2000,890.0,3563.0,1157.3,-2405.7,245.241614631574,-0.05587063031612238
Central Aran economic region,2000,29170.0,210070.0,360704.5,150634.5,12467.010681980646,0.04294192752825032
Mingachevir city,2000,270.0,367.0,131.6,-235.4,51.68594123878494,-0.10738274180791763
Agdash district,2000,11525.0,76047.0,51861.3,-24185.699999999997,7474.20947810473,-0.005933040697634118
Goychay district,2000,8700.0,73144.0,196562.2,123418.20000000001,10546.36456798252,0.074849503409671
Kurdamir district,2000,3990.0,27392.0,57661.899999999994,30269.899999999994,2379.8561231592143,0.04371526900095102
Ujar district,2000,2069.0,21713.0,40978.0,19265.0,1612.591778581246,0.059434168413821986
Yevlakh district,2000,1800.0,9891.0,10378.099999999999,487.09999999999854,948.1971522563763,-0.0015278194971076742
Zardab district,2000,816.0,1516.0,3131.3999999999996,1615.3999999999996,217.0548571548049,-0.008598915784350236
Mil-Mughan economic region,2000,9372.0,57757.0,168603.2,110846.20000000001,8345.175048606474,0.058551495974725976
Beylagan district,2000,1021.0,7666.0,40623.0,32957.0,2588.505018709459,0.09424922425885085
Imishli district,2000,3093.0,18088.0,3730.0,-14358.0,1355.2713390014712,-0.06394908296086688
Saatli district,2000,980.0,7193.0,21265.800000000003,14072.800000000003,1391.4357011239572,0.06892350021993421
Sabirabad district,2000,4278.0,24810.0,102984.4,78174.4,6113.186820516467,0.0724392247540897
Shaki-Zagatala economic region,2000,13343.0,79804.0,110027.70000000001,30223.70000000001,2963.9411455576696,0.02138667611643119
Balakan district,2000,3938.0,16048.0,31147.0,15099.0,1401.7992165350431,0.02263180457494962
Gakh district,2000,920.0,5244.0,5472.6,228.60000000000036,266.9857163850216,0.004539146863516086
Gabala district,2000,1864.0,10306.0,4479.5,-5826.5,884.7051766250164,-0.033987011493045616
Oghuz district,2000,320.0,2363.0,2565.7000000000003,202.70000000000027,93.1794760904608,0.017914111537767674
Shaki district,2000,3508.0,25573.0,33706.1,8133.0999999999985,1594.7345961494023,0.02486334312234706
Zagatala district,2000,2793.0,20270.0,32656.8,12386.8,1025.2129814428026,0.038125762410451625
Eastern Zangazur economic  region,2000,,1.0,2912.9,2911.9,216.8915422765745,
Jabrayil district,2000,,0.0,2804.2000000000003,2804.2000000000003,161.17246249488983,
Kalbajar district,2000,,0.0,0.0,0.0,,
Gubadli district,2000,,1.0,1.0,0.0,2.886751345948129,
Lachin district,2000,,0.0,4.0,4.0,11.18779096455894,
Zangilan district,2000,,0.0,103.7,103.7,11.28250858630296,
Shirvan-Salyan economic region,2000,10763.0,75878.0,355635.89999999997,279757.89999999997,24419.794833839074,0.07888796160604916
Shirvan city,2000,12.0,253.0,3397.7,3144.7,297.2731944790803,0.17181583881085816
Bilasuvar district,2000,3329.0,28033.0,211563.5,183530.5,18725.651428129488,0.10630834684734891
Hajigabul district,2000,5150.0,34166.0,15325.2,-18840.8,2500.5351562722776,-0.020307703268069077
Neftchala district,2000,495.0,2870.0,2408.6,-461.4000000000001,161.7522481531824,-0.02043112386118051
Salyan district,2000,1777.0,10556.0,122940.9,112384.9,9324.603827368388,0.11929240508033323
,2000,,0.0,0.0,0.0,,
* including tomatoe harvesting under canopy lands,2000,,0.0,0.0,0.0,,
Republic of Azerbaijan,2001,402487.0,2016286.0,3952058.4000000004,1935772.4000000004,147914.1752195477,0.040704504820237464
Baku city,2001,1554.0,17168.0,404803.7,387635.7,32182.885541109514,0.30067740875749704
Nakhchivan Autonomous Republic,2001,15122.0,85357.0,146767.5,61410.5,7528.5118318689365,-0.023177784496340448
Nakhchivan city,2001,,0.0,5822.8,5822.8,454.9767008327499,
Babak district,2001,5368.0,28521.0,39501.899999999994,10980.899999999994,2136.9976292390193,-0.055259864856593954
Julfa district,2001,1299.0,8106.0,5944.5,-2161.5,1610.103756710476,-0.06854487745904725
Kangarli district,2001,,929.0,7147.6,6218.6,469.04233127332526,
Ordubad district,2001,995.0,6985.0,10046.5,3061.5,580.5498888641224,-0.1310049912393415
Sadarak district,2001,800.0,4774.0,6178.1,1404.1000000000004,482.6941127708346,0.04727067212478775
Shahbuz district,2001,163.0,4003.0,2963.9,-1039.1,809.6989195199282,-0.04689333968232168
Sharur district,2001,6497.0,32039.0,69162.2,37123.2,3895.6497646250473,-0.005574985841816371
Absheron-Khizi economic region,2001,1240.0,8987.0,617579.5,608592.5,52560.921590998136,0.2601055310717719
Sumgayit city,2001,20.0,162.0,2016.3000000000002,1854.3000000000002,154.7572301113558,0.1477252717366042
Absheron district,2001,956.0,7158.0,611475.9,604317.9,52213.95655814706,0.2855830106068782
Khizi district,2001,264.0,1667.0,4087.3,2420.3,239.44328270815612,0.05741676441535937
Daghlig Shirvan economic region,2001,2318.0,13781.0,15178.800000000001,1397.800000000001,366.65428796627754,0.013736347412640404
Aghsu district,2001,305.0,1808.0,5706.6,3898.6000000000004,339.67224825099277,0.07301957010494431
Ismayilli district,2001,626.0,4313.0,7388.0,3075.0,273.4360535158428,0.06327420780201187
Gobustan district,2001,295.0,1381.0,789.2,-591.8,111.7419461806169,-0.002858799991605876
Shamakhi district,2001,1092.0,6279.0,1295.0,-4984.0,421.0887241700832,-0.07027984413883015
Ganja-Dashkasan economic  region,2001,2711.0,17296.0,59051.2,41755.2,3234.920686380721,0.06551440803278696
Ganja city,2001,1.0,244.0,59.8,-184.2,242.45517798828988,
Naftalan city,2001,,0.0,96.9,96.9,9.96549174105451,
Goranboy district,2001,630.0,5622.0,17559.0,11937.0,1618.1522083152013,0.15913834355200995
Goygol district,2001,633.0,3712.0,6330.9,2618.8999999999996,311.47600295474876,0.03047889753299704
Samukh district,2001,1447.0,7718.0,35004.6,27286.6,2147.2137588080263,0.051753246852620505
Karabakh economic region,2001,10915.0,56846.0,89701.6,32855.600000000006,2944.4260196051005,0.0330759340352611
Khankandi city,2001,,0.0,0.0,0.0,,
Aghjabadi district,2001,818.0,5983.0,3765.8,-2217.2,370.02367335155697,-0.002877901989807863
Aghdam district,2001,848.0,5411.0,34481.0,29070.0,2914.525158680177,0.11585568644507194
Aghdara district,2001,,0.0,0.0,0.0,,
Barda district,2001,5430.0,28700.0,25611.4,-3088.5999999999985,1617.4409118746185,-0.024071314833330915
Fuzuli district,2001,1135.0,7031.0,9266.8,2235.7999999999993,482.65824047813504,0.11952222079831953
Khojaly district,2001,,128.0,535.6,407.6,43.199239411293874,
Khojavand district,2001,,56.0,572.5,516.5,42.62855325520183,
Shusha district,2001,,0.0,10.9,10.9,4.668365491650837,
Tartar district,2001,2684.0,9537.0,15457.7,5920.700000000001,656.1905989541432,0.07353767995680549
Gazakh-Tovuz economic region,2001,66858.0,284254.0,906656.6000000001,622402.6000000001,53861.295814978526,0.07503009828289287
Aghstafa district,2001,6014.0,33446.0,18576.4,-14869.599999999999,2358.8114822136995,-0.010595207334080814
Gadabay district,2001,,0.0,268.79999999999995,268.79999999999995,17.574373096744864,
Gazakh district,2001,8063.0,42817.0,42546.0,-271.0,2000.8540060742037,0.007602292261739363
Shamkir district,2001,49063.0,188176.0,805778.8,617602.8,53629.419000490256,0.09935532784921564
Tovuz district,2001,3718.0,19815.0,39486.600000000006,19671.600000000006,2752.36952850617,0.015897412871708427
Guba-Khachmaz economic region,2001,110456.0,503922.0,417511.9,-86410.09999999998,10555.45980416643,-0.008340369413373794
Khachmaz district,2001,100924.0,454610.0,330762.39999999997,-123847.60000000003,12636.858072895047,-0.017421743981087423
Guba district,2001,2163.0,12338.0,42428.5,30090.5,2461.5874338178014,0.08016653833513265
Gusar district,2001,3667.0,16515.0,26748.4,10233.400000000001,1013.7050349934218,0.04501785691371829
Siyazan district,2001,259.0,1088.0,1253.2,165.20000000000005,274.1670313640145,-0.0018991860427439722
Shabran district,2001,3443.0,19371.0,16319.400000000001,-3051.5999999999985,1441.625186368154,-0.007544079997721553
Lankaran-Astara economic region,2001,117216.0,605165.0,296923.3,-308241.7,32145.595404664957,-0.027405463578316414
Astara district,2001,7378.0,59002.0,37364.0,-21638.0,5551.203850165021,-0.0018389597889391096
Jalilabad district,2001,4454.0,17632.0,4832.799999999999,-12799.2,1384.2607696026316,-0.10831280816042321
Lerik district,2001,187.0,2472.0,2403.6,-68.40000000000009,202.0015985013521,-0.008305627971985752
Lankaran district,2001,77874.0,397049.0,167457.7,-229591.3,22565.20715906949,-0.03805228821683404
Masalli district,2001,26443.0,125447.0,83707.9,-41739.100000000006,4819.707975666837,-0.007084792076165303
Yardimli district,2001,880.0,3563.0,1157.3,-2405.7,245.241614631574,-0.05587063031612238
Central Aran economic region,2001,34660.0,210070.0,360704.5,150634.5,12467.010681980646,0.04294192752825032
Mingachevir city,2001,47.0,367.0,131.6,-235.4,51.68594123878494,-0.10738274180791763
Agdash district,2001,12117.0,76047.0,51861.3,-24185.699999999997,7474.20947810473,-0.005933040697634118
Goychay district,2001,14660.0,73144.0,196562.2,123418.20000000001,10546.36456798252,0.074849503409671
Kurdamir district,2001,2967.0,27392.0,57661.899999999994,30269.899999999994,2379.8561231592143,0.04371526900095102
Ujar district,2001,2979.0,21713.0,40978.0,19265.0,1612.591778581246,0.059434168413821986
Yevlakh district,2001,1681.0,9891.0,10378.099999999999,487.09999999999854,948.1971522563763,-0.0015278194971076742
Zardab district,2001,209.0,1516.0,3131.3999999999996,1615.3999999999996,217.0548571548049,-0.008598915784350236
Mil-Mughan economic region,2001,10635.0,57757.0,168603.2,110846.20000000001,8345.175048606474,0.058551495974725976
Beylagan district,2001,1080.0,7666.0,40623.0,32957.0,2588.505018709459,0.09424922425885085
Imishli district,2001,3009.0,18088.0,3730.0,-14358.0,1355.2713390014712,-0.06394908296086688
Saatli district,2001,1027.0,7193.0,21265.800000000003,14072.800000000003,1391.4357011239572,0.06892350021993421
Sabirabad district,2001,5519.0,24810.0,102984.4,78174.4,6113.186820516467,0.0724392247540897
Shaki-Zagatala economic region,2001,14400.0,79804.0,110027.70000000001,30223.70000000001,2963.9411455576696,0.02138667611643119
Balakan district,2001,4838.0,16048.0,31147.0,15099.0,1401.7992165350431,0.02263180457494962
Gakh district,2001,920.0,5244.0,5472.6,228.60000000000036,266.9857163850216,0.004539146863516086
Gabala district,2001,2060.0,10306.0,4479.5,-5826.5,884.7051766250164,-0.033987011493045616
