Setting,year,tomato_yield,first5_sum,last5_sum,growth,std_dev,cagr
Republic of Azerbaijan,2000,179.0,876.0,1041.1,165.0999999999999,17.403722219727864,0.007795015876115308
Baku city,2000,127.0,554.0,515.5,-38.5,84.00426738211458,-0.003411566427565571
Nakhchivan Autonomous Republic,2000,93.0,441.0,719.1,278.1,21.799889891358678,0.020375981353123906
Nakhchivan city,2000,,0.0,528.1,528.1,17.019198117865702,
Babak district,2000,92.0,348.0,617.8,269.79999999999995,23.25972291634033,0.00897917051198105
Julfa district,2000,141.0,774.0,775.5999999999999,1.599999999999909,62.68322187274539,-0.008079615869752033
Kangarli district,2000,,91.0,753.0,662.0,23.44216848241422,
Ordubad district,2000,44.0,268.0,460.1,192.10000000000002,14.496565685246512,0.038108238179025644
Sadarak district,2000,170.0,728.0,494.29999999999995,-233.70000000000005,20.464684586315794,-0.022721805475765744
Shahbuz district,2000,26.0,447.0,693.8,246.79999999999995,60.32643747123656,0.07510059492203958
Sharur district,2000,108.0,559.0,941.0,382.0,35.31752756951127,0.02178663200781683
Absheron-Khizi economic region,2000,87.0,440.0,568.0,128.0,24.645449649089322,0.03621920543979029
Sumgayit city,2000,29.0,175.0,403.3,228.3,29.229578217169387,0.04555866865803404
Absheron district,2000,122.0,563.0,711.5999999999999,148.5999999999999,36.42835633030313,0.03527573740476542
Khizi district,2000,62.0,307.0,452.4,145.39999999999998,22.092471994789985,0.021001660224805763
Daghlig Shirvan economic region,2000,96.0,409.0,465.7,56.69999999999999,8.344683936495139,-0.0003181398526803658
Aghsu district,2000,54.0,311.0,551.5,240.5,19.618003691522226,0.03368610446934528
Ismayilli district,2000,75.0,435.0,470.5,35.5,4.5890997980564485,0.010561387680565248
Gobustan district,2000,28.0,151.0,270.6,119.60000000000002,10.145203050089052,0.03011297623823128
Shamakhi district,2000,200.0,682.0,381.29999999999995,-300.70000000000005,29.695402647645594,-0.04097739969392322
Ganja-Dashkasan economic  region,2000,,0.0,791.1,791.1,40.11282723881364,
