Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,8342.0,9911.4,10563.0,11628.0,12528.0,12781.0,13353.0,13798.0,14522.0,15313.0,15262.0,14420.0,14163.0,14183.0,13907.0,13887.0,12940.0,12245.0,11311.0,11293.0,10974.0,11489.4,11295.8,9644.5
Baku city,27.0,25.0,35.0,35.0,45.0,45.0,60.0,39.0,74.0,103.0,95.0,92.0,114.0,175.0,90.0,90.0,134.0,345.0,290.0,169.0,193.5,188.5,183.5,173.5
Nakhchivan Autonomous Republic,1195.0,1454.0,1468.0,1481.0,1778.0,1789.0,1728.0,1781.0,1813.0,1939.0,1940.0,1958.0,1969.0,1976.0,1974.0,1999.0,2001.0,2002.0,2007.0,2009.0,1743.9,1985.1,1985.0,453.0
Nakhchivan city,,,,,,,31.0,31.0,32.0,135.0,132.0,133.0,133.0,135.0,135.0,136.0,136.0,137.0,137.0,139.0,140.0,141.0,142.0,15.0
Babak district,572.0,834.0,758.0,642.0,882.0,899.0,773.0,796.0,797.0,706.0,707.0,715.0,718.0,718.0,718.0,765.0,765.0,775.0,776.0,728.0,498.0,645.0,644.0,95.0
Julfa district,47.0,43.0,58.0,68.0,73.0,87.0,94.0,104.0,105.0,123.0,130.0,133.0,134.0,136.0,134.0,109.0,108.0,57.0,58.0,64.0,14.0,115.0,116.0,15.0
Kangarli district,,,,,80.0,43.0,44.0,40.0,52.0,68.0,72.0,74.0,75.0,77.0,78.0,78.0,78.0,78.0,79.0,80.0,85.0,104.1,103.0,14.0
Ordubad district,124.0,111.0,154.0,170.0,178.0,178.0,178.0,178.0,179.0,180.0,179.0,180.0,180.0,180.0,181.0,182.0,183.0,183.0,184.0,184.0,175.9,145.0,146.0,2.9
Sadarak district,3.0,10.0,17.0,33.0,60.0,69.0,97.0,106.0,107.0,133.0,130.0,131.0,133.0,134.0,133.0,134.0,135.0,135.0,136.0,106.0,107.0,112.0,113.0,62.0
Shahbuz district,52.0,51.0,70.0,72.0,82.0,87.0,84.0,89.0,88.0,89.0,89.0,90.0,91.0,92.0,92.0,91.0,91.0,51.0,50.0,49.0,50.0,52.0,53.0,5.0
Sharur district,397.0,405.0,411.0,496.0,423.0,426.0,427.0,437.0,453.0,505.0,501.0,502.0,505.0,504.0,503.0,504.0,505.0,586.0,587.0,659.0,674.0,671.0,668.0,244.0
Absheron-Khizi economic region,70.0,71.2,51.0,94.0,82.0,96.0,112.0,99.0,39.0,72.0,61.0,94.0,62.0,45.0,49.0,86.0,195.0,44.0,31.0,83.0,44.2,35.4,30.7,18.5
Sumgayit city,3.0,3.0,3.0,3.0,4.0,11.0,35.0,30.0,2.0,9.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Absheron district,6.0,0.2,2.0,2.0,,,7.0,8.0,12.0,19.0,27.0,29.0,14.0,19.0,24.0,38.0,145.0,6.0,18.0,24.0,17.2,17.4,17.7,7.0
Khizi district,61.0,68.0,46.0,89.0,78.0,85.0,70.0,61.0,25.0,44.0,30.0,61.0,45.0,22.0,22.0,45.0,47.0,35.0,10.0,56.0,24.0,15.0,10.0,8.5
Daghlig Shirvan economic region,199.0,257.0,274.0,327.0,328.0,339.0,352.0,370.0,435.0,379.0,393.0,408.0,432.0,412.0,427.0,420.0,367.0,296.0,297.0,310.0,323.3,334.7,338.5,347.9
Aghsu district,49.0,57.0,51.0,56.0,58.0,59.0,60.0,71.0,117.0,72.0,79.0,73.0,93.0,73.0,79.0,86.0,79.0,85.0,83.0,88.0,94.3,95.7,100.3,104.9
Ismayilli district,35.0,67.0,79.0,117.0,121.0,124.0,128.0,131.0,148.0,136.0,141.0,154.0,156.0,159.0,164.0,167.0,164.0,172.0,175.0,180.0,183.0,194.0,190.0,193.0
Gobustan district,74.0,76.0,92.0,93.0,93.0,96.0,97.0,100.0,101.0,102.0,92.0,90.0,89.0,91.0,88.0,70.0,26.0,18.0,16.0,14.0,18.0,15.0,17.5,19.0
Shamakhi district,41.0,57.0,52.0,61.0,56.0,60.0,67.0,68.0,69.0,69.0,81.0,91.0,94.0,89.0,96.0,97.0,98.0,21.0,23.0,28.0,28.0,30.0,30.7,31.0
Ganja-Dashkasan economic region,117.0,138.0,195.0,275.0,306.0,317.0,304.0,374.0,411.0,476.0,427.0,440.0,445.0,410.0,404.0,460.0,445.0,347.0,251.0,293.0,237.2,237.9,201.4,206.9
Ganja city,,,1.0,1.0,1.0,9.0,7.0,8.0,11.0,8.0,15.0,15.0,18.0,14.0,13.0,9.0,9.0,7.0,6.0,5.0,5.1,,,0.5
Naftalan city,,,,,,,,,,,,0.2,0.2,0.4,1.0,0.4,1.0,1.0,1.0,1.0,0.4,0.5,0.5,1.5
Dashkasan district,,,,,,,,,,,,,,,,,,,,,,,,
Goranboy district,13.0,48.0,63.0,105.0,112.0,122.0,136.0,177.0,168.0,175.0,126.0,122.0,106.0,123.0,140.0,235.0,245.0,196.0,107.0,135.0,85.0,87.0,65.9,66.3
Goygol district,19.0,16.0,19.0,56.0,47.0,31.0,42.0,40.0,57.0,69.0,75.0,87.0,105.0,117.0,113.0,110.0,98.0,71.0,72.0,76.0,76.8,79.4,74.4,70.7
Samukh district,85.0,74.0,112.0,113.0,146.0,155.0,119.0,149.0,175.0,224.0,211.0,216.0,216.0,156.0,137.0,106.0,92.0,72.0,65.0,76.0,69.9,71.0,60.6,67.9
Karabakh economic region,688.0,1127.0,1315.0,1546.0,1304.0,1339.0,1143.0,1242.0,1327.0,1553.0,1702.0,1455.0,1516.0,1483.0,1474.0,1452.0,1174.0,1024.0,1045.0,919.0,852.3,998.3,873.5,763.5
Khankandi city,,,,,,,,,,,,,,,,,,,,,,,,
Aghjabadi district,41.0,48.0,58.0,62.0,65.0,59.0,58.0,66.0,66.0,38.0,40.0,41.0,45.0,35.0,36.0,38.0,41.0,31.0,25.0,57.0,18.0,24.5,18.5,12.5
Aghdam district,63.0,42.0,121.0,205.0,86.0,232.0,236.0,290.0,308.0,525.0,470.0,371.0,336.0,368.0,385.0,355.0,347.0,254.0,260.0,260.0,171.0,217.0,226.0,228.0
Aghdara district,,,,,,,,,,,,,,,,,,,,,,,,
Barda district,360.0,380.0,350.0,410.0,425.0,500.0,350.0,432.0,512.0,543.0,758.0,575.0,665.0,623.0,575.0,587.0,361.0,340.0,336.0,124.0,210.4,242.0,222.0,120.0
Fuzuli district,54.0,300.0,370.0,395.0,380.0,152.0,142.0,142.0,145.0,150.0,126.0,130.0,111.0,105.0,146.0,131.0,129.0,104.0,118.0,118.0,121.5,122.0,123.0,123.5
Khojaly district,,,,,6.0,12.0,12.0,6.0,10.0,28.0,25.0,26.0,22.0,26.0,23.0,24.0,19.0,15.0,14.0,15.0,14.0,13.0,11.0,10.0
Khojavand district,,,,,2.0,2.0,3.0,3.0,6.0,9.0,9.0,4.0,6.0,3.0,7.0,7.0,10.0,10.0,12.0,13.0,13.9,16.3,8.0,3.4
Shusha district,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,
Tartar district,170.0,357.0,416.0,474.0,340.0,382.0,342.0,303.0,280.0,259.0,273.0,306.0,330.0,322.0,300.0,309.0,265.0,269.0,279.0,332.0,303.5,363.5,265.0,266.0
Gazakh-Tovuz economic region,2193.0,2206.0,2210.0,491.0,527.0,444.0,705.0,649.0,791.0,703.0,748.0,685.0,557.0,626.0,551.0,581.0,512.0,492.0,662.0,715.0,731.9,747.7,687.6,687.8
