Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,104770.0,133409.0,137622.0,156584.0,163206.0,173254.0,186276.0,194912.0,207598.0,209641.0,217028.0,212089.0,210172.0,218326.0,213345.0,230747.0,217843.0,220903.0,223790.0,248891.0,226929.3,245846.7,246572.3,219777.1
Baku city,221.0,629.0,1651.0,1651.0,1624.0,1624.0,2592.0,3608.0,5887.0,3005.0,5083.0,5124.0,3998.0,5919.0,1452.0,1139.0,1491.0,9348.0,6610.0,10587.0,5951.4,6645.3,6491.3,5121.3
Nakhchivan Autonomous Republic,11000.0,11818.0,11999.0,13369.0,18348.0,17711.0,17192.0,17736.0,18356.0,19167.0,21051.0,21239.0,21545.0,21965.0,22265.0,29407.0,29595.0,30075.0,30064.0,30628.0,26690.0,31504.0,31545.2,6891.5
Nakhchivan city,,,,,,,152.0,170.0,168.0,1050.0,1143.0,1162.0,1185.0,1378.0,1407.0,1489.0,1431.0,1461.0,1469.0,1469.0,1459.0,1491.0,1496.3,162.0
Babak district,5580.0,6188.0,5296.0,4724.0,8712.0,7141.0,6287.0,6510.0,6565.0,6040.0,6296.0,6380.0,6412.0,6421.0,6442.0,9145.0,9075.0,9402.0,10494.0,9859.0,6612.4,9553.7,9559.0,1359.7
Julfa district,367.0,346.0,808.0,968.0,1140.0,1443.0,1659.0,1735.0,1797.0,2030.0,2638.0,2664.0,2666.0,2700.0,2711.0,2429.0,2430.0,1565.0,1078.0,1096.0,208.0,1598.4,1602.0,179.0
Kangarli district,,,,,752.0,406.0,429.0,380.0,556.0,721.0,739.0,759.0,807.0,874.0,973.0,1113.0,1117.0,1183.0,1233.0,1327.0,1365.0,1625.7,1630.0,157.0
Ordubad district,498.0,504.0,858.0,996.0,1050.0,1124.0,1140.0,1146.0,1157.0,1162.0,1160.0,1168.0,1169.0,1173.0,1184.0,1264.0,1495.0,1494.0,1510.0,1517.0,1453.8,1328.3,1329.0,28.5
Sadarak district,90.0,170.0,276.0,360.0,626.0,724.0,1160.0,1254.0,1287.0,1224.0,1701.0,1709.0,1856.0,1877.0,1879.0,2030.0,2035.0,2039.0,1592.0,1056.0,1162.0,1312.4,1315.5,716.0
Shahbuz district,141.0,150.0,155.0,720.0,1230.0,1218.0,1233.0,1294.0,1245.0,1352.0,1418.0,1432.0,1455.0,1497.0,1502.0,1788.0,1754.0,1019.0,672.0,572.0,573.8,652.4,659.5,49.6
Sharur district,4324.0,4460.0,4606.0,5601.0,4838.0,5655.0,5132.0,5247.0,5581.0,5588.0,5956.0,5965.0,5995.0,6045.0,6167.0,10149.0,10258.0,11912.0,12016.0,13732.0,13856.0,13942.1,13953.9,4239.8
Absheron-Khizi economic region,456.0,561.0,811.0,1179.0,905.0,1082.0,1277.0,893.0,769.0,1238.0,3193.0,3569.0,1132.0,1765.0,2207.0,1647.0,4571.0,794.0,2515.0,3210.0,2954.4,4158.1,4314.2,1731.4
Sumgayit city,8.0,9.0,27.0,27.0,34.0,42.0,87.0,77.0,14.0,38.0,16.0,70.0,5.0,274.0,28.0,1.0,1.0,1.0,27.0,42.0,43.7,43.2,43.3,43.4
Absheron district,75.0,146.0,499.0,636.0,287.0,448.0,707.0,273.0,594.0,919.0,2948.0,3054.0,786.0,1329.0,2012.0,1321.0,4179.0,303.0,2353.0,2748.0,2690.7,3978.9,4175.8,1603.0
Khizi district,373.0,406.0,285.0,516.0,584.0,592.0,483.0,543.0,161.0,281.0,229.0,445.0,341.0,162.0,167.0,325.0,391.0,490.0,135.0,420.0,220.0,136.0,95.0,85.0
Daghlig Shirvan economic region,1403.0,1441.0,1635.0,2356.0,2277.0,2325.0,2442.0,2559.0,2986.0,2569.0,2682.0,2920.0,3108.0,3013.0,3092.0,3511.0,3351.0,3171.0,2982.0,3071.0,3208.9,3594.9,3726.4,3831.4
Aghsu district,274.0,262.0,242.0,314.0,317.0,316.0,326.0,419.0,702.0,367.0,440.0,408.0,513.0,469.0,518.0,913.0,811.0,1323.0,1079.0,1075.0,1102.5,1337.4,1435.8,1489.1
Ismayilli district,226.0,475.0,568.0,1055.0,1080.0,1111.0,1148.0,1179.0,1296.0,1213.0,1260.0,1371.0,1424.0,1456.0,1510.0,1554.0,1598.0,1615.0,1660.0,1720.0,1810.0,1935.0,1963.0,2001.0
Gobustan district,165.0,183.0,200.0,306.0,298.0,306.0,317.0,326.0,333.0,335.0,255.0,292.0,297.0,311.0,247.0,212.0,92.0,73.0,66.0,59.0,74.6,84.0,89.0,99.5
Shamakhi district,738.0,521.0,625.0,681.0,582.0,592.0,651.0,635.0,655.0,654.0,727.0,849.0,874.0,777.0,817.0,832.0,850.0,160.0,177.0,217.0,221.8,238.5,238.6,241.8
Ganja-Dashkasan economic region,1115.0,1369.0,1456.0,2444.0,2725.0,2937.0,2750.0,3133.0,4329.0,3909.0,3969.0,4169.0,5057.0,4372.0,4012.0,4457.0,4868.0,4758.0,3972.0,4340.0,4487.9,4504.9,4334.4,5222.2
Ganja city,,257.0,3.0,67.0,34.0,269.0,98.0,142.0,1122.0,35.0,427.0,347.0,966.0,443.0,460.0,58.0,70.0,47.0,46.0,62.0,55.1,,,4.0
Naftalan city,,,,,,,,,,,,2.0,2.0,4.0,4.0,5.0,7.0,6.0,6.0,7.0,4.0,5.2,5.1,15.6
