Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,88770.0,115498.0,119492.0,145348.0,163372.0,177414.0,184169.0,191055.0,184669.0,168814.0,171571.0,182447.0,166183.0,157665.0,169054.0,179047.0,178249.0,207497.0,235470.0,267229.0,274884.2,286375.0,275194.7,310259.4
Baku city,69.0,63.0,95.0,95.0,87.0,87.0,409.0,84.0,76.0,215.0,215.0,210.0,666.0,345.0,345.0,437.0,94.0,147.0,77.0,41.0,31.0,36.0,36.5,40.5
Nakhchivan Autonomous Republic,2155.0,3765.0,3878.0,5384.0,3895.0,5789.0,5173.0,5530.0,5401.0,4970.0,3995.0,4020.0,4047.0,4085.0,3969.0,4170.0,4437.0,5047.0,5128.0,5410.0,4860.6,6392.2,6495.1,6528.5
Nakhchivan city,,,,,,,112.0,113.0,105.0,104.0,104.0,106.0,104.0,104.0,103.0,115.0,120.0,121.0,122.0,113.0,125.0,86.4,87.6,8.0
Babak district,284.0,1771.0,1717.0,2241.0,621.0,2669.0,1368.0,1340.0,1341.0,280.0,265.0,282.0,298.0,324.0,325.0,361.0,315.0,436.0,449.0,468.0,470.0,509.6,522.3,25.2
Julfa district,350.0,370.0,394.0,438.0,544.0,664.0,748.0,867.0,673.0,773.0,174.0,175.0,175.0,175.0,176.0,298.0,439.0,512.0,520.0,546.0,54.0,470.6,480.7,46.0
Kangarli district,,,,,328.0,178.0,180.0,434.0,393.0,538.0,540.0,543.0,544.0,545.0,431.0,434.0,438.0,441.0,452.0,468.0,476.0,505.7,537.2,62.5
Ordubad district,150.0,183.0,365.0,364.0,381.0,391.0,418.0,421.0,427.0,438.0,442.0,442.0,452.0,454.0,457.0,471.0,599.0,606.0,627.0,637.0,467.0,624.5,629.7,7.0
Sadarak district,12.0,80.0,131.0,135.0,162.0,168.0,251.0,250.0,251.0,609.0,189.0,189.0,189.0,190.0,194.0,210.0,218.0,219.0,226.0,228.0,246.0,286.0,295.0,15.4
Shahbuz district,30.0,35.0,39.0,95.0,220.0,220.0,262.0,233.0,238.0,209.0,263.0,263.0,264.0,264.0,265.0,235.0,286.0,125.0,125.0,126.0,127.0,57.4,58.0,4.4
Sharur district,1329.0,1326.0,1232.0,2111.0,1639.0,1499.0,1834.0,1872.0,1973.0,2019.0,2018.0,2020.0,2021.0,2029.0,2018.0,2046.0,2022.0,2587.0,2607.0,2824.0,2895.6,3852.0,3884.6,6360.0
Absheron-Khizi economic region,85.0,74.0,123.0,76.0,169.0,123.0,173.0,132.0,121.0,128.0,115.0,157.0,106.0,226.0,231.0,149.0,219.0,193.0,143.0,115.0,118.4,99.9,97.4,104.0
Sumgayit city,8.0,8.0,8.0,4.0,4.0,21.0,36.0,36.0,,,,,,,,,,,6.0,,,,,
Absheron district,6.0,12.0,17.0,26.0,74.0,13.0,48.0,65.0,89.0,102.0,69.0,77.0,85.0,95.0,95.0,89.0,144.0,169.0,137.0,115.0,118.4,99.9,97.4,104.0
Khizi district,71.0,54.0,98.0,46.0,91.0,89.0,89.0,31.0,32.0,26.0,46.0,80.0,21.0,131.0,136.0,60.0,75.0,24.0,,,,,,
Daghlig Shirvan economic region,2894.0,2760.0,2447.0,2629.0,2790.0,2909.0,2991.0,3026.0,3572.0,3014.0,3070.0,3742.0,2958.0,3020.0,2994.0,3113.0,3144.0,2527.0,2420.0,2323.0,2211.6,1237.6,1301.6,1060.6
Aghsu district,551.0,341.0,241.0,270.0,260.0,315.0,327.0,338.0,743.0,328.0,442.0,1170.0,355.0,397.0,354.0,451.0,516.0,541.0,468.0,464.0,501.0,546.0,604.3,655.8
Ismayilli district,1507.0,1914.0,1737.0,1880.0,1924.0,1979.0,2002.0,2012.0,2125.0,1928.0,1875.0,1713.0,1748.0,1785.0,1820.0,1873.0,1886.0,1865.0,1837.0,1765.0,1620.0,602.0,607.0,290.0
Gobustan district,167.0,80.0,103.0,132.0,155.0,163.0,167.0,172.0,172.0,183.0,138.0,162.0,168.0,175.0,143.0,111.0,52.0,78.0,48.0,15.0,19.2,26.4,25.0,48.0
Shamakhi district,669.0,425.0,366.0,347.0,451.0,452.0,495.0,504.0,532.0,575.0,615.0,697.0,687.0,663.0,677.0,678.0,690.0,43.0,67.0,79.0,71.4,63.2,65.3,66.8
Ganja-Dashkasan economic region,1335.0,1812.0,1316.0,2676.0,2741.0,2853.0,3632.0,6893.0,6500.0,5332.0,6191.0,6462.0,5047.0,3939.0,3616.0,2017.0,2605.0,1885.0,1763.0,1375.0,2396.5,1989.6,2072.1,2124.6
Ganja city,,1.0,1.0,8.0,8.0,60.0,59.0,59.0,60.0,41.0,28.0,29.0,41.0,41.0,42.0,42.0,9.0,8.0,9.0,14.0,14.1,,,
Naftalan city,,,,,,,,,,,,8.0,8.0,10.0,9.0,6.0,8.0,,,,,,,1.5
Goranboy district,117.0,993.0,244.0,1230.0,1340.0,1410.0,1729.0,4423.0,3848.0,2758.0,3882.0,3590.0,2324.0,1462.0,1472.0,218.0,234.0,144.0,187.0,143.0,171.0,219.2,186.2,279.4
Goygol district,723.0,414.0,556.0,885.0,771.0,706.0,906.0,890.0,840.0,1100.0,992.0,1435.0,1549.0,1360.0,1074.0,989.0,1330.0,1053.0,940.0,568.0,1334.0,934.0,968.0,912.0
Samukh district,495.0,404.0,515.0,553.0,622.0,677.0,938.0,1521.0,1752.0,1433.0,1289.0,1400.0,1125.0,1066.0,1019.0,762.0,1024.0,680.0,627.0,650.0,877.4,836.4,917.9,931.7
Karabakh economic region,21885.0,36199.0,30301.0,43812.0,57119.0,57939.0,56486.0,57737.0,55746.0,43382.0,44332.0,52765.0,43292.0,44976.0,55510.0,62793.0,62587.0,96241.0,118977.0,144890.0,147093.8,157728.1,145167.8,173060.9
Aghjabadi district,4592.0,4952.0,3594.0,3833.0,4293.0,3943.0,3971.0,4486.0,4495.0,4242.0,6156.0,7759.0,8395.0,8050.0,9042.0,9430.0,13735.0,9723.0,11814.0,20984.0,31287.4,27712.5,26392.9,26701.8
Aghdam district,1602.0,14297.0,9217.0,13650.0,23578.0,24303.0,27204.0,31604.0,32396.0,22615.0,20910.0,27628.0,24355.0,26965.0,27975.0,31030.0,32370.0,62695.0,82318.0,89988.0,71761.5,76410.2,76070.0,80521.6
Barda district,11300.0,12750.0,13906.0,22332.0,23200.0,24499.0,19250.0,11320.0,11020.0,12449.0,12218.0,12487.0,5429.0,5481.0,13950.0,19201.0,13001.0,20624.0,18247.0,30174.0,39627.0,46000.0,32090.0,54650.0
Fuzuli district,121.0,1892.0,1210.0,1649.0,2208.0,1168.0,1661.0,1681.0,1830.0,152.0,747.0,855.0,1866.0,1146.0,1009.0,783.0,950.0,774.0,693.0,240.0,340.0,530.0,1020.0,1041.9
Khojaly district,,,,,,,,30.0,17.0,,,,2.0,15.0,13.0,15.0,,,,,75.0,37.5,40.0,42.0
Khojavand district,66.0,219.0,27.0,25.0,612.0,442.0,442.0,2274.0,690.0,897.0,261.0,145.0,51.0,43.0,70.0,628.0,481.0,655.0,806.0,816.0,2235.2,3678.2,6702.1,7182.2
Shusha district,,,,27.0,51.0,53.0,84.0,246.0,366.0,464.0,570.0,724.0,598.0,386.0,341.0,462.0,631.0,528.0,3911.0,2070.0,1190.0,2477.6,2141.5,1280.0
Tartar district,4204.0,2089.0,2347.0,2296.0,3177.0,3531.0,3874.0,6096.0,4932.0,2563.0,3470.0,3167.0,2596.0,2890.0,3110.0,1244.0,1419.0,1242.0,1188.0,618.0,577.7,882.1,711.3,1641.5
Gazakh-Tovuz economic region,17020.0,16372.0,19816.0,21223.0,20703.0,23420.0,30173.0,29518.0,28848.0,28836.0,31128.0,33409.0,31907.0,31292.0,33329.0,35436.0,35932.0,36551.0,37003.0,42287.0,50543.4,53533.5,58391.5,65383.0
Aghstafa district,742.0,942.0,1297.0,1452.0,1325.0,484.0,2283.0,1363.0,2360.0,1650.0,1200.0,1207.0,1200.0,858.0,634.0,1784.0,692.0,475.0,682.0,1103.0,846.1,932.7,807.3,925.7
Gadabay district,,60.0,,48.0,39.0,36.0,,,,,,,,,140.0,,1.0,,225.0,,45.3,49.8,,30.2
Gazakh district,338.0,600.0,626.0,216.0,396.0,384.0,277.0,259.0,179.0,168.0,985.0,1840.0,831.0,135.0,80.0,270.0,65.0,612.0,73.0,50.0,570.0,690.0,810.0,450.0
Shamkir district,14266.0,11999.0,15109.0,16766.0,16962.0,20237.0,23582.0,23825.0,23813.0,24458.0,26359.0,27710.0,27581.0,27906.0,28807.0,29606.0,31532.0,32417.0,32844.0,37817.0,46379.5,48457.5,53498.1,58482.1
Tovuz district,1674.0,2771.0,2784.0,2741.0,1981.0,2279.0,4031.0,4071.0,2496.0,2560.0,2584.0,2652.0,2295.0,2393.0,3668.0,3776.0,3642.0,3047.0,3179.0,3317.0,2702.5,3403.5,3276.1,5495.0
Guba-Khachmaz economic region,7893.0,8760.0,8910.0,11758.0,11558.0,11793.0,12615.0,12063.0,11260.0,12067.0,11270.0,9348.0,9622.0,9578.0,9349.0,8242.0,8571.0,7915.0,8055.0,7727.0,8063.3,8504.8,6343.5,6447.9
Khachmaz district,5467.0,5728.0,5109.0,8037.0,7294.0,7821.0,8535.0,7847.0,7271.0,7696.0,6988.0,5585.0,5722.0,5656.0,5202.0,3659.0,3664.0,2988.0,2629.0,2809.0,3079.0,3059.4,3122.7,3092.2
Guba district,1004.0,1171.0,1843.0,2106.0,2304.0,2241.0,2156.0,1987.0,2031.0,1429.0,1783.0,1880.0,1946.0,2001.0,2026.0,2099.0,2125.0,2207.0,2218.0,2230.0,2194.0,2184.5,165.5,147.5
Gusar district,948.0,1453.0,1506.0,1212.0,1457.0,1176.0,1481.0,1798.0,1813.0,2716.0,2268.0,1758.0,1907.0,1868.0,2026.0,2315.0,2625.0,2525.0,3069.0,2483.0,2601.3,2699.9,2737.8,2754.7
Siyazan district,22.0,37.0,40.0,40.0,51.0,69.0,66.0,27.0,21.0,24.0,53.0,30.0,32.0,32.0,35.0,43.0,23.0,75.0,25.0,61.0,51.0,435.0,182.0,307.0
Shabran district,452.0,371.0,412.0,363.0,452.0,486.0,377.0,404.0,124.0,202.0,178.0,95.0,15.0,21.0,60.0,126.0,134.0,120.0,114.0,144.0,138.0,126.0,135.5,146.5
Lankaran-Astara economic region,13814.0,14235.0,16085.0,17913.0,20866.0,21909.0,22906.0,24796.0,28682.0,27248.0,25265.0,23411.0,25485.0,19888.0,20607.0,20070.0,20088.0,18466.0,18925.0,17841.0,17124.1,15468.5,14872.8,14742.9
Astara district,3529.0,3294.0,2150.0,3713.0,5618.0,6077.0,6729.0,8300.0,6720.0,5834.0,5936.0,5595.0,5600.0,5435.0,5438.0,5020.0,6299.0,5456.0,5097.0,4880.0,4845.1,4178.7,4269.5,4028.4
Jalilabad district,2402.0,2732.0,3921.0,4077.0,4089.0,4100.0,4185.0,4157.0,4213.0,2675.0,574.0,57.0,90.0,168.0,249.0,216.0,171.0,190.0,252.0,432.0,651.0,452.0,19.0,128.0
Lerik district,603.0,1393.0,2292.0,2371.0,3023.0,3202.0,3252.0,2917.0,2788.0,2973.0,2973.0,2773.0,2722.0,2903.0,2703.0,2820.0,3062.0,2124.0,2643.0,2374.0,2602.8,2625.1,2578.0,2579.0
Lankaran district,4289.0,4099.0,4116.0,4516.0,4925.0,5239.0,5669.0,5727.0,11800.0,11841.0,11763.0,9331.0,11799.0,6869.0,7542.0,7808.0,6783.0,6285.0,6986.0,6691.0,5297.6,4737.4,4536.9,4736.0
Masalli district,2468.0,2700.0,3460.0,3169.0,3074.0,3132.0,2903.0,3367.0,2768.0,3177.0,3272.0,4804.0,4253.0,3493.0,3652.0,3163.0,2832.0,3311.0,2717.0,2206.0,2285.1,2083.7,2080.4,2144.0
Yardimli district,523.0,17.0,146.0,67.0,137.0,159.0,168.0,328.0,393.0,748.0,747.0,851.0,1021.0,1020.0,1023.0,1043.0,941.0,1100.0,1230.0,1258.0,1442.5,1391.6,1389.0,1127.5
Central Aran economic region,6002.0,9519.0,12433.0,14574.0,16647.0,19004.0,15234.0,16938.0,13193.0,14768.0,15126.0,13677.0,12757.0,12254.0,10404.0,10015.0,7323.0,5756.0,5250.0,6351.0,3769.6,3808.4,3145.9,3722.6
Mingachevir city,,8.0,11.0,1.0,1.0,6.0,13.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.9,1.5,1.3
Agdash district,1815.0,1657.0,2047.0,2253.0,2531.0,2674.0,2882.0,3116.0,3617.0,3416.0,3886.0,4931.0,4187.0,3974.0,2534.0,2035.0,235.0,220.0,178.0,149.0,104.6,55.1,60.1,544.7
Goychay district,410.0,971.0,585.0,670.0,723.0,664.0,868.0,834.0,873.0,890.0,648.0,599.0,441.0,398.0,379.0,203.0,179.0,195.0,98.0,103.0,146.8,128.9,97.5,108.7
Kurdamir district,1628.0,2864.0,4885.0,5159.0,3979.0,5239.0,2419.0,3367.0,2814.0,3352.0,2835.0,1772.0,1935.0,1881.0,1757.0,1977.0,1806.0,1338.0,1130.0,2191.0,1283.2,1325.5,823.0,813.0
Ujar district,658.0,757.0,1207.0,1764.0,3048.0,2879.0,2946.0,2964.0,2978.0,2990.0,2684.0,3582.0,3683.0,3350.0,3319.0,3274.0,3301.0,3309.0,3316.0,3356.0,1470.2,1519.8,1541.8,1580.0
Yevlakh district,985.0,1685.0,1548.0,1543.0,2613.0,3464.0,3762.0,4016.0,1483.0,2054.0,2948.0,1172.0,858.0,984.0,731.0,740.0,749.0,166.0,48.0,162.0,367.2,374.4,387.4,432.8
Zardab district,506.0,1577.0,2150.0,3184.0,3752.0,4078.0,2344.0,2640.0,1427.0,2065.0,2124.0,1619.0,1651.0,1665.0,1681.0,1783.0,1050.0,527.0,479.0,388.0,395.6,402.8,234.6,242.2
