Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,9221.0,11304.0,11978.0,13006.0,14533.0,14577.0,14888.0,15545.0,14598.0,12935.0,12853.0,13073.0,11604.0,11129.0,11765.0,12065.0,11953.0,12373.0,12712.0,12389.0,11729.6,11646.6,10220.8,11027.2
Baku city,10.0,10.0,15.0,15.0,17.0,17.0,25.0,11.0,11.0,16.0,16.0,14.0,26.0,14.0,15.0,26.0,14.0,20.0,8.0,4.0,3.9,3.9,4.0,4.1
Nakhchivan Autonomous Republic,288.0,366.0,391.0,548.0,441.0,444.0,455.0,486.0,463.0,314.0,368.0,372.0,373.0,392.0,418.0,420.0,427.0,428.0,434.0,443.0,348.0,450.9,460.0,230.0
Nakhchivan city,,,,,,,20.0,20.0,16.0,11.0,27.0,28.0,26.0,25.0,26.0,25.0,26.0,26.0,27.0,25.0,26.0,25.0,24.0,2.0
Babak district,70.0,135.0,132.0,214.0,105.0,107.0,85.0,82.0,82.0,17.0,16.0,18.0,19.0,22.0,22.0,24.0,25.0,34.0,35.0,37.0,34.0,43.0,44.0,2.0
Julfa district,41.0,41.0,48.0,50.0,52.0,61.0,63.0,70.0,54.0,71.0,76.0,77.0,74.0,74.0,87.0,86.0,87.0,79.0,80.0,82.0,6.0,52.0,53.0,5.0
Kangarli district,,,,,33.0,18.0,18.0,43.0,35.0,48.0,28.0,28.0,29.0,30.0,31.0,31.0,32.0,32.0,33.0,32.0,33.0,29.9,37.0,5.0
Ordubad district,36.0,44.0,67.0,65.0,68.0,69.0,69.0,69.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,74.0,54.0,72.0,71.0,1.0
Sadarak district,3.0,5.0,8.0,13.0,16.0,16.0,22.0,24.0,24.0,19.0,18.0,18.0,20.0,19.0,30.0,31.0,32.0,32.0,33.0,32.0,33.0,34.0,35.0,2.0
Shahbuz district,16.0,20.0,16.0,19.0,22.0,22.0,25.0,22.0,22.0,21.0,26.0,26.0,27.0,28.0,28.0,29.0,30.0,13.0,12.0,11.0,10.0,12.0,12.0,1.0
Sharur district,122.0,121.0,120.0,187.0,145.0,151.0,153.0,156.0,160.0,56.0,106.0,106.0,106.0,122.0,122.0,122.0,123.0,140.0,141.0,150.0,152.0,183.0,184.0,212.0
Absheron-Khizi economic region,28.0,13.0,20.0,13.0,23.0,18.0,26.0,18.0,16.0,15.0,14.0,20.0,14.0,28.0,29.0,16.0,23.0,17.0,13.0,11.0,8.7,8.5,8.6,8.4
Sumgayit city,2.0,2.0,2.0,1.0,1.0,2.0,7.0,7.0,,,,,,,,,,,1.0,1.0,,,,
Absheron district,1.0,2.0,2.0,3.0,8.0,4.0,7.0,7.0,11.0,11.0,8.0,9.0,12.0,10.0,11.0,8.0,14.0,14.0,12.0,10.0,8.7,8.5,8.6,8.4
Khizi district,25.0,9.0,16.0,9.0,14.0,12.0,12.0,4.0,5.0,4.0,6.0,11.0,2.0,18.0,18.0,8.0,9.0,3.0,,,,,,
Daghlig Shirvan economic region,283.0,250.0,275.0,299.0,309.0,326.0,337.0,351.0,441.0,375.0,382.0,492.0,350.0,355.0,351.0,348.0,334.0,265.0,247.0,229.0,218.1,125.3,129.7,108.6
Aghsu district,84.0,51.0,34.0,39.0,36.0,44.0,46.0,47.0,115.0,48.0,64.0,192.0,50.0,51.0,47.0,51.0,56.0,58.0,50.0,48.0,49.6,52.8,56.4,60.8
Ismayilli district,98.0,118.0,156.0,176.0,181.0,186.0,186.0,187.0,210.0,205.0,199.0,175.0,173.0,176.0,178.0,181.0,183.0,181.0,177.0,168.0,155.0,58.0,58.0,28.0
Gobustan district,56.0,52.0,44.0,47.0,48.0,50.0,52.0,53.0,53.0,55.0,51.0,52.0,52.0,53.0,50.0,38.0,15.0,21.0,12.0,4.0,4.5,5.5,5.0,9.3
Shamakhi district,45.0,29.0,41.0,37.0,44.0,46.0,53.0,64.0,63.0,67.0,68.0,73.0,75.0,75.0,76.0,78.0,80.0,5.0,8.0,9.0,9.0,9.0,10.3,10.5
Ganja-Dashkasan economic region,330.0,353.0,339.0,311.0,355.0,365.0,435.0,877.0,760.0,532.0,562.0,567.0,426.0,385.0,372.0,228.0,269.0,195.0,185.0,156.0,178.9,148.5,146.0,153.7
Ganja city,,1.0,,1.0,1.0,6.0,5.0,6.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.1,,,
Naftalan city,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.5
Goranboy district,132.0,150.0,134.0,137.0,161.0,160.0,210.0,533.0,458.0,227.0,293.0,272.0,166.0,155.0,160.0,24.0,26.0,16.0,22.0,15.0,18.0,23.0,19.5,19.8
Goygol district,141.0,153.0,149.0,99.0,112.0,117.0,119.0,128.0,108.0,151.0,136.0,147.0,149.0,124.0,114.0,137.0,166.0,117.0,103.0,80.0,107.5,76.5,72.0,76.4
Samukh district,57.0,49.0,56.0,74.0,81.0,82.0,101.0,210.0,187.0,148.0,130.0,144.0,107.0,102.0,94.0,63.0,75.0,61.0,59.0,60.0,52.3,49.0,54.5,56.0
Karabakh economic region,2335.0,3256.0,3037.0,3728.0,4273.0,4286.0,3997.0,4073.0,3893.0,3041.0,3118.0,3495.0,2720.0,2771.0,3391.0,3690.0,3814.0,4763.0,5628.0,5202.0,4869.4,5108.8,3849.1,4778.5
Aghjabadi district,334.0,398.0,232.0,248.0,301.0,276.0,278.0,315.0,315.0,298.0,446.0,573.0,619.0,596.0,625.0,646.0,966.0,672.0,803.0,525.0,778.0,681.0,535.3,541.4
Aghdam district,248.0,1209.0,1116.0,982.0,1238.0,1187.0,1349.0,1703.0,1746.0,1159.0,1133.0,1482.0,1244.0,1339.0,1381.0,1522.0,1596.0,3050.0,3685.0,3688.0,2914.0,3067.0,2283.0,2410.0
Barda district,1160.0,1200.0,1350.0,2050.0,2100.0,2300.0,1800.0,1059.0,994.0,1122.0,1004.0,925.0,385.0,378.0,959.0,1163.0,867.0,758.0,811.0,752.0,922.0,1035.0,721.0,1265.0
Fuzuli district,63.0,220.0,128.0,215.0,280.0,146.0,204.0,204.0,221.0,20.0,88.0,95.0,145.0,135.0,95.0,94.0,95.0,42.0,33.0,20.0,25.0,30.0,68.0,69.0
Khojaly district,,,,,,,,2.0,3.0,,,,1.0,2.0,2.0,2.0,,,,,3.0,1.5,2.0,2.0
Khojavand district,11.0,32.0,4.0,3.0,51.0,34.0,34.0,162.0,77.0,105.0,29.0,13.0,4.0,5.0,7.0,64.0,53.0,82.0,83.0,83.0,83.8,118.0,100.8,352.1
Shusha district,,,,9.0,17.0,17.0,27.0,77.0,96.0,119.0,150.0,171.0,130.0,86.0,75.0,102.0,130.0,91.0,147.0,100.0,111.6,124.8,101.5,65.0
Tartar district,519.0,197.0,207.0,221.0,286.0,326.0,305.0,551.0,441.0,218.0,268.0,236.0,192.0,230.0,247.0,97.0,107.0,68.0,66.0,34.0,32.0,51.5,37.5,74.0
Gazakh-Tovuz economic region,2353.0,2532.0,2674.0,1426.0,1478.0,1311.0,1738.0,1712.0,1594.0,1583.0,1781.0,1856.0,1774.0,1772.0,1848.0,1903.0,1904.0,1910.0,1837.0,1953.0,2009.5,2037.8,2132.0,2237.1
Aghstafa district,83.0,81.0,102.0,163.0,161.0,47.0,193.0,161.0,150.0,110.0,100.0,92.0,90.0,64.0,58.0,64.0,27.0,24.0,34.0,55.0,42.2,45.5,39.0,44.5
Gadabay district,,5.0,,4.0,3.0,3.0,,,,,,,,,4.0,,1.0,,8.0,,3.0,3.3,,2.0
Gazakh district,27.0,40.0,41.0,20.0,28.0,26.0,22.0,20.0,18.0,12.0,64.0,98.0,52.0,10.0,5.0,13.0,3.0,25.0,3.0,2.0,19.0,23.0,27.0,15.0
Shamkir district,953.0,845.0,916.0,998.0,1041.0,1088.0,1263.0,1270.0,1268.0,1301.0,1455.0,1506.0,1497.0,1555.0,1562.0,1601.0,1645.0,1671.0,1610.0,1711.0,1796.0,1835.0,1940.0,1965.0
Tovuz district,161.0,241.0,245.0,241.0,245.0,147.0,260.0,261.0,158.0,160.0,162.0,160.0,135.0,143.0,219.0,225.0,228.0,190.0,182.0,185.0,149.3,131.0,126.0,210.6
Guba-Khachmaz economic region,586.0,699.0,716.0,736.0,805.0,805.0,845.0,849.0,828.0,777.0,704.0,625.0,581.0,591.0,599.0,527.0,540.0,500.0,535.0,511.0,520.5,524.1,347.9,350.4
Khachmaz district,308.0,358.0,311.0,373.0,385.0,388.0,409.0,425.0,370.0,369.0,332.0,288.0,263.0,269.0,259.0,176.0,173.0,133.0,120.0,126.0,130.0,125.5,127.0,126.0
Guba district,142.0,159.0,222.0,231.0,247.0,241.0,232.0,220.0,225.0,166.0,170.0,180.0,185.0,191.0,193.0,198.0,200.0,208.0,209.0,210.0,206.0,205.5,15.5,14.0
Gusar district,93.0,104.0,121.0,80.0,101.0,99.0,123.0,129.0,131.0,149.0,149.0,116.0,118.0,116.0,127.0,135.0,148.0,140.0,186.0,150.0,160.0,161.0,162.0,163.0
Siyazan district,3.0,5.0,6.0,6.0,8.0,10.0,11.0,7.0,5.0,7.0,9.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,9.0,7.5,17.6,27.9,30.4
Shabran district,40.0,73.0,56.0,46.0,64.0,67.0,70.0,68.0,97.0,86.0,44.0,36.0,10.0,10.0,14.0,12.0,15.0,13.0,14.0,16.0,17.0,14.5,15.5,17.0
Lankaran-Astara economic region,1117.0,1229.0,1494.0,1498.0,1682.0,1771.0,1849.0,1959.0,2218.0,2073.0,1822.0,1636.0,1733.0,1448.0,1484.0,1514.0,1491.0,1424.0,1395.0,1353.0,1273.9,1140.5,1106.8,1096.2
Astara district,143.0,181.0,347.0,376.0,498.0,519.0,565.0,700.0,565.0,545.0,548.0,517.0,516.0,497.0,498.0,486.0,568.0,494.0,474.0,458.0,448.5,371.5,379.3,371.0
Jalilabad district,372.0,414.0,427.0,444.0,446.0,446.0,449.0,446.0,452.0,287.0,59.0,10.0,10.0,18.0,30.0,23.0,19.0,22.0,24.0,23.0,35.0,30.0,4.0,16.0
Lerik district,61.0,128.0,174.0,170.0,208.0,221.0,233.0,209.0,207.0,223.0,229.0,226.0,220.0,223.0,205.0,217.0,226.0,174.0,181.0,184.0,201.5,203.0,200.0,201.0
Lankaran district,285.0,283.0,310.0,300.0,326.0,382.0,398.0,389.0,767.0,750.0,712.0,561.0,686.0,410.0,449.0,486.0,420.0,453.0,462.0,466.0,347.2,308.8,295.0,297.0
Masalli district,201.0,209.0,223.0,202.0,192.0,189.0,189.0,186.0,190.0,206.0,212.0,251.0,224.0,225.0,226.0,223.0,190.0,204.0,163.0,126.0,130.5,119.0,118.5,122.0
Yardimli district,55.0,14.0,13.0,6.0,12.0,14.0,15.0,29.0,37.0,62.0,62.0,71.0,77.0,75.0,76.0,79.0,68.0,77.0,91.0,96.0,111.2,108.2,110.0,89.2
Central Aran economic region,1131.0,1519.0,1494.0,1514.0,1956.0,1773.0,1604.0,1750.0,1352.0,1544.0,1502.0,1266.0,1236.0,1197.0,1013.0,970.0,713.0,517.0,448.0,478.0,308.1,303.2,270.2,321.8
Mingachevir city,,1.0,0.5,1.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.8,1.7,1.5,1.2
Agdash district,201.0,218.0,230.0,248.0,269.0,274.0,282.0,296.0,330.0,317.0,358.0,384.0,356.0,358.0,224.0,168.0,18.0,20.0,14.0,16.0,11.5,7.2,6.2,51.8
Goychay district,33.0,60.0,38.0,43.0,42.0,38.0,44.0,40.0,38.0,39.0,27.0,24.0,17.0,16.0,15.0,14.0,12.0,13.0,6.0,7.0,10.5,9.1,6.6,7.4
Kurdamir district,489.0,723.0,615.0,621.0,531.0,518.0,303.0,470.0,330.0,450.0,380.0,245.0,266.0,248.0,221.0,243.0,218.0,118.0,70.0,85.0,77.8,67.7,43.0,41.5
Ujar district,200.0,198.0,226.0,242.0,441.0,426.0,421.0,436.0,438.0,439.0,366.0,414.0,413.0,376.0,370.0,365.0,327.0,327.0,328.0,331.0,145.0,155.0,157.0,158.0
Yevlakh district,135.0,189.0,174.0,169.0,281.0,325.0,353.0,307.0,114.0,163.0,234.0,93.0,67.0,82.0,65.0,66.0,66.0,11.0,5.0,19.0,43.2,44.0,45.1,50.5
Zardab district,73.0,130.0,210.0,190.0,391.0,186.0,198.0,199.0,100.0,134.0,135.0,104.0,114.0,114.0,115.0,111.0,69.0,26.0,23.0,18.0,18.3,18.5,10.8,11.4
Mil-Mughan economic region,987.0,1298.0,1725.0,1798.0,2022.0,2154.0,2211.0,2108.0,1715.0,1434.0,1440.0,1668.0,1229.0,1080.0,1188.0,1381.0,1356.0,1399.0,1133.0,1171.0,1120.0,938.5,920.9,856.9
Beylagan district,371.0,372.0,284.0,369.0,569.0,575.0,618.0,560.0,524.0,506.0,551.0,705.0,554.0,565.0,693.0,697.0,745.0,950.0,730.0,725.0,679.0,555.0,550.0,551.0
Imishli district,212.0,255.0,362.0,350.0,387.0,400.0,410.0,450.0,236.0,89.0,58.0,61.0,43.0,39.0,30.0,35.0,24.0,17.0,17.0,17.0,11.0,13.5,15.5,7.5
Saatli district,131.0,152.0,296.0,267.0,336.0,415.0,350.0,363.0,201.0,157.0,126.0,198.0,145.0,99.0,110.0,153.0,89.0,54.0,6.0,47.0,47.0,54.0,55.4,48.4
Sabirabad district,273.0,519.0,783.0,812.0,730.0,764.0,833.0,735.0,754.0,682.0,705.0,704.0,487.0,377.0,355.0,496.0,498.0,378.0,380.0,382.0,383.0,316.0,300.0,250.0
Shaki-Zagatala economic region,794.0,845.0,860.0,918.0,980.0,1047.0,1056.0,1036.0,1114.0,1031.0,939.0,929.0,994.0,1009.0,973.0,960.0,980.0,835.0,775.0,784.0,761.3,763.0,737.7,735.8
Balakan district,126.0,135.0,146.0,103.0,105.0,109.0,108.0,118.0,117.0,133.0,121.0,126.0,127.0,133.0,127.0,127.0,125.0,104.0,104.0,107.0,105.0,106.0,107.0,108.0
Gakh district,109.0,106.0,127.0,137.0,142.0,144.0,145.0,128.0,150.0,65.0,77.0,48.0,33.0,29.0,30.0,29.0,46.0,36.0,38.0,39.0,31.6,33.5,32.4,29.0
Gabala district,184.0,196.0,120.0,122.0,137.0,141.0,173.0,176.0,178.0,155.0,158.0,155.0,157.0,160.0,161.0,161.0,160.0,84.0,60.0,60.0,30.0,22.0,21.0,21.0
Oghuz district,26.0,29.0,34.0,38.0,58.0,58.0,59.0,68.0,69.0,48.0,50.0,49.0,47.0,49.0,48.0,49.0,47.0,36.0,32.0,32.0,48.8,50.1,25.9,29.4
Shaki district,160.0,117.0,112.0,134.0,148.0,200.0,177.0,170.0,221.0,295.0,210.0,199.0,229.0,175.0,190.0,181.0,182.0,164.0,129.0,133.0,126.9,131.4,130.4,126.4
Zagatala district,189.0,262.0,321.0,384.0,390.0,395.0,394.0,376.0,379.0,335.0,323.0,352.0,401.0,463.0,417.0,413.0,420.0,411.0,412.0,413.0,419.0,420.0,421.0,422.0
Eastern Zangazur economic region,,,,,,,1.0,14.0,,31.0,46.0,59.0,54.0,18.0,21.0,21.0,21.0,17.0,24.0,22.0,22.0,19.6,19.5,39.7
Jabrayil district,,,,,,,1.0,,,19.0,20.0,20.0,20.0,15.0,16.0,16.0,20.0,17.0,17.0,18.0,18.0,18.1,18.0,18.2
Gubadli district,,,,,,,,,,,,,,,,,,,,,,,,20.0
Lachin district,,,,,,,,14.0,,12.0,26.0,38.0,34.0,3.0,5.0,5.0,1.0,0.2,6.0,3.0,2.0,,,
Zangilan district,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,1.5,1.5,1.5
Shirvan-Salyan economic region,108.0,254.0,308.0,202.0,192.0,260.0,309.0,301.0,193.0,169.0,159.0,74.0,94.0,69.0,63.0,61.0,67.0,83.0,50.0,72.0,87.3,74.0,88.4,106.0
Shirvan city,,,3.0,,,1.0,,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5
Bilasuvar district,55.0,209.0,235.0,150.0,142.0,134.0,285.0,274.0,175.0,112.0,130.0,41.0,54.0,39.0,40.0,28.0,36.0,53.0,26.0,35.0,30.2,27.8,31.9,29.8
Hajigabul district,4.0,5.0,,,,,,,,,,,,,,,,17.0,18.0,18.0,20.0,10.0,14.0,15.0
Neftchala district,31.0,24.0,12.0,15.0,21.0,15.0,12.0,9.0,7.0,35.0,2.0,4.0,2.0,0.1,1.0,1.0,1.0,1.0,1.0,3.0,1.6,2.7,3.8,3.7
Salyan district,18.0,16.0,58.0,37.0,29.0,110.0,12.0,17.0,10.0,22.0,25.0,27.0,36.0,29.0,21.0,31.0,29.0,11.0,4.0,15.0,34.5,32.5,38.7,57.0
