Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,97.0,102.0,102.0,112.0,112.0,122.0,124.0,123.0,127.0,131.0,134.0,140.0,143.0,142.0,144.0,148.0,148.0,167.0,184.0,214.0,233.5,245.7,265.3,281.1
Baku city,69.0,63.0,63.0,63.0,51.0,51.0,164.0,76.0,69.0,134.0,134.0,150.0,256.0,246.0,230.0,168.0,65.0,74.0,96.0,100.0,79.5,92.3,91.2,98.8
Nakhchivan Autonomous Republic,75.0,103.0,99.0,98.0,88.0,130.0,114.0,114.0,117.0,158.0,109.0,108.0,109.0,104.0,95.0,99.0,104.0,118.0,118.0,122.0,139.7,141.8,141.2,283.7
Nakhchivan city,,,,,,,56.0,57.0,66.0,95.0,39.0,38.0,40.0,42.0,40.0,46.0,46.0,47.0,45.0,45.0,48.1,34.6,36.5,40.0
Babak district,41.0,131.0,130.0,105.0,59.0,249.0,161.0,163.0,164.0,165.0,166.0,157.0,157.0,147.0,148.0,151.0,126.0,128.0,128.0,126.0,138.2,118.5,118.7,110.5
Julfa district,85.0,90.0,82.0,88.0,105.0,109.0,119.0,124.0,125.0,109.0,23.0,23.0,24.0,24.0,20.0,35.0,51.0,65.0,65.0,67.0,90.0,90.5,90.7,92.0
Kangarli district,,,,,99.0,99.0,100.0,101.0,112.0,112.0,193.0,194.0,188.0,182.0,139.0,140.0,137.0,138.0,137.0,146.0,144.2,169.1,145.2,125.0
Ordubad district,42.0,42.0,55.0,56.0,56.0,57.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,65.0,83.0,84.0,86.0,86.0,86.5,86.7,88.7,70.0
Sadarak district,40.0,160.0,164.0,104.0,101.0,105.0,114.0,105.0,105.0,321.0,105.0,105.0,95.0,100.0,65.0,68.0,68.0,69.0,69.0,71.0,74.5,84.1,84.3,77.0
Shahbuz district,19.0,17.0,24.0,50.0,100.0,100.0,105.0,106.0,108.0,100.0,101.0,101.0,98.0,95.0,95.0,81.0,95.0,96.0,104.0,115.0,127.0,47.8,48.3,44.0
Sharur district,109.0,110.0,103.0,113.0,113.0,99.0,120.0,120.0,123.0,361.0,190.0,191.0,191.0,166.0,165.0,168.0,164.0,185.0,185.0,188.0,190.5,210.5,211.1,300.0
Absheron-Khizi economic region,30.0,57.0,61.0,58.0,74.0,69.0,114.0,74.0,76.0,85.0,83.0,79.0,78.0,81.0,80.0,93.0,94.0,113.0,111.0,115.0,136.1,117.6,113.3,123.8
Sumgayit city,40.0,40.0,41.0,40.0,37.0,105.0,51.0,51.0,,,,,,,,,,,57.0,,,,,
Absheron district,55.0,58.0,81.0,85.0,93.0,33.0,68.0,93.0,81.0,94.0,88.0,86.0,81.0,95.0,87.0,112.0,100.0,120.0,115.0,115.0,136.1,117.6,113.3,123.8
Khizi district,28.0,60.0,61.0,51.0,65.0,74.0,74.0,78.0,65.0,62.0,77.0,73.0,70.0,73.0,75.0,75.0,84.0,80.0,,,,,,
Daghlig Shirvan economic region,102.0,110.0,89.0,88.0,90.0,89.0,89.0,86.0,81.0,80.0,81.0,76.0,85.0,85.0,85.0,89.0,94.0,96.0,98.0,102.0,101.4,98.8,100.4,97.7
