Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,469009.0,605821.0,694947.0,769047.0,930445.0,1083074.0,999343.0,1037317.0,1077114.0,982979.0,953710.0,938517.0,968545.0,992780.0,819319.0,839795.0,902396.0,913899.0,898914.0,1004172.0,1037636.8,1061957.7,1074261.3,1010517.4
Baku city,50.0,,50.0,50.0,50.0,50.0,401.0,52.0,116.0,50.0,50.0,80.0,109.0,136.0,36.0,50.0,134.0,128.0,212.0,49.0,46.4,73.2,71.5,76.8
Nakhchivan Autonomous Republic,13454.0,15182.0,13633.0,14234.0,17059.0,26318.0,33506.0,33749.0,34310.0,37422.0,37902.0,38310.0,39441.0,41297.0,41405.0,45043.0,46409.0,48982.0,49574.0,50092.0,50668.0,54689.0,54998.0,25888.3
Nakhchivan city,,,,,,,87.0,108.0,,440.0,283.0,289.0,298.0,320.0,346.0,335.0,347.0,358.0,371.0,360.0,375.0,387.0,398.0,123.2
Babak district,2080.0,2268.0,2387.0,2415.0,3064.0,3839.0,4440.0,4447.0,4698.0,4396.0,4447.0,4483.0,5373.0,5876.0,5877.0,8239.0,8263.0,8739.0,8790.0,8818.0,7968.0,8125.0,8172.0,525.4
Julfa district,1236.0,1422.0,1495.0,2220.0,2592.0,3719.0,4752.0,4760.0,4783.0,4806.0,4811.0,4880.0,4895.0,5198.0,5210.0,4160.0,5098.0,2970.0,3006.0,3045.0,175.0,1765.0,1789.0,126.7
Kangarli district,,,,,1377.0,1971.0,2174.0,2178.0,2213.0,2599.0,2734.0,2789.0,2824.0,2839.0,2855.0,2928.0,2944.0,3192.0,3208.0,3240.0,3250.0,3521.0,3538.0,343.2
Ordubad district,1602.0,1877.0,2012.0,2073.0,2233.0,5881.0,7829.0,7830.0,7847.0,8304.0,8325.0,8358.0,8378.0,8410.0,8417.0,8434.0,8453.0,8473.0,8510.0,8538.0,8573.0,8705.0,8724.0,210.0
Sadarak district,102.0,138.0,590.0,360.0,216.0,288.0,455.0,518.0,720.0,1480.0,1542.0,1588.0,1701.0,1796.0,1815.0,1858.0,1878.0,1954.0,1746.0,1628.0,1224.0,1396.0,1409.0,835.0
Shahbuz district,322.0,368.0,500.0,1116.0,1620.0,3300.0,4500.0,4530.0,4617.0,5880.0,6088.0,6170.0,6198.0,6863.0,6883.0,8046.0,8084.0,7407.0,7586.0,7573.0,6428.0,6493.0,6512.0,176.8
Sharur district,8112.0,9109.0,6649.0,6050.0,5957.0,7320.0,9269.0,9378.0,9432.0,9517.0,9672.0,9753.0,9774.0,9995.0,10002.0,11043.0,11342.0,15889.0,16357.0,16890.0,22675.0,24297.0,24456.0,23548.0
Absheron-Khizi economic region,510.0,478.0,1147.0,621.0,649.0,563.0,636.0,562.0,534.0,333.0,320.0,423.0,217.0,320.0,335.0,352.0,461.0,352.0,402.0,316.0,316.1,324.3,227.7,198.8
Sumgayit city,,,,,,,70.0,70.0,42.0,46.0,8.0,8.0,7.0,8.0,5.0,5.0,5.0,5.0,18.0,5.0,5.1,5.2,5.3,5.2
Absheron district,30.0,34.0,702.0,117.0,92.0,4.0,64.0,38.0,26.0,22.0,,18.0,23.0,50.0,45.0,47.0,71.0,67.0,110.0,101.0,90.0,94.1,92.4,93.6
Khizi district,480.0,444.0,445.0,504.0,557.0,559.0,502.0,454.0,466.0,265.0,312.0,397.0,187.0,262.0,285.0,300.0,385.0,280.0,274.0,210.0,221.0,225.0,130.0,100.0
Daghlig Shirvan economic region,7150.0,8353.0,9753.0,11555.0,11985.0,12138.0,12171.0,12234.0,12619.0,12519.0,12935.0,12988.0,13272.0,13333.0,13241.0,13300.0,16326.0,15419.0,15748.0,18685.0,18949.7,20282.8,15114.1,15282.3
Aghsu district,69.0,78.0,119.0,145.0,255.0,281.0,286.0,311.0,478.0,479.0,838.0,532.0,658.0,602.0,600.0,1057.0,1230.0,1370.0,1458.0,1378.0,1458.2,1431.8,1506.2,1528.3
Ismayilli district,2702.0,3497.0,4822.0,5896.0,6070.0,6146.0,6148.0,6165.0,6281.0,6145.0,6182.0,6242.0,6364.0,6448.0,6576.0,6790.0,9670.0,10343.0,10415.0,13850.0,14482.0,14611.0,10542.0,10710.0
Gobustan district,731.0,768.0,796.0,1017.0,1134.0,1180.0,1204.0,1216.0,1242.0,1249.0,1058.0,1352.0,1374.0,1405.0,1180.0,568.0,495.0,1935.0,1485.0,1263.0,776.0,910.0,731.5,698.0
Shamakhi district,3648.0,4010.0,4016.0,4497.0,4526.0,4531.0,4533.0,4542.0,4618.0,4646.0,4857.0,4862.0,4876.0,4878.0,4885.0,4885.0,4931.0,1771.0,2390.0,2194.0,2233.5,3330.0,2334.4,2346.0
Ganja-Dashkasan economic  region,7951.0,12037.0,10687.0,14397.0,22408.0,23744.0,24328.0,28750.0,32169.0,31325.0,30409.0,31286.0,30044.0,35690.0,38167.0,30444.0,31900.0,24378.0,24373.0,27654.0,23444.3,21465.9,12797.7,12524.7
Ganja city,5.0,4.0,21.0,30.0,32.0,125.0,132.0,133.0,120.0,148.0,132.0,144.0,148.0,159.0,161.0,240.0,162.0,145.0,123.0,136.0,139.3,,,
Naftalan city,,,,,,,,,,,,10.0,18.0,18.0,26.0,14.0,14.0,9.0,14.0,15.0,22.5,27.0,18.0,43.2
Dashkasan district,3510.0,5982.0,3855.0,5554.0,10478.0,10766.0,11055.0,13485.0,15051.0,14338.0,14347.0,14412.0,13562.0,13809.0,12929.0,13019.0,12394.0,13087.0,12008.0,11350.0,11100.0,9715.0,4192.0,4312.7
Goranboy district,490.0,1303.0,1483.0,1572.0,1873.0,2429.0,2598.0,4042.0,4698.0,4346.0,3545.0,4320.0,3812.0,3422.0,3521.0,2808.0,7134.0,3222.0,3717.0,4975.0,5202.0,5226.5,2920.1,2921.6
Goygol district,2777.0,3924.0,4308.0,5755.0,8376.0,8586.0,8702.0,8983.0,9912.0,9930.0,9955.0,10023.0,10075.0,10080.0,9996.0,10002.0,10010.0,6323.0,5860.0,5100.0,4816.0,4521.0,3737.0,3094.0
Samukh district,1169.0,824.0,1020.0,1486.0,1649.0,1838.0,1841.0,2107.0,2388.0,2563.0,2430.0,2377.0,2429.0,8202.0,11534.0,4361.0,2186.0,1592.0,2651.0,6078.0,2164.5,1976.4,1930.6,2153.2
Karabakh economic region,9242.0,12708.0,16249.0,24337.0,27099.0,25187.0,23192.0,25542.0,24287.0,26180.0,22033.0,21640.0,21609.0,23125.0,23080.0,22332.0,21090.0,18627.0,20259.0,18830.0,17159.6,15524.0,14273.6,17162.7
Khankandi city,,,,,,,,,,,,,,,,,,,,,,,,
Aghjabadi district,2383.0,2352.0,2808.0,2945.0,3341.0,3694.0,3809.0,4049.0,3558.0,3689.0,2801.0,2577.0,2615.0,2669.0,2770.0,2803.0,2364.0,2246.0,2464.0,3123.0,1952.8,1126.0,1300.2,1364.4
Aghdam district,500.0,1807.0,3448.0,7328.0,8975.0,9225.0,8360.0,9080.0,9197.0,9290.0,6425.0,8140.0,7260.0,8320.0,8560.0,7560.0,7607.0,5860.0,5923.0,6025.0,5545.0,4800.0,4352.0,4172.0
Aghdara district,,,,,,,,,,,,,,,,,,,,,,,,
Barda district,3150.0,5225.0,5310.0,8250.0,7820.0,5175.0,3702.0,3852.0,3582.0,4635.0,4350.0,2355.0,2558.0,2606.0,2249.0,2417.0,1980.0,1991.0,2304.0,1491.0,1562.5,1538.0,1222.5,2660.0
Fuzuli district,865.0,650.0,1430.0,2210.0,2512.0,1026.0,1133.0,1150.0,1186.0,1320.0,1379.0,1608.0,1620.0,1620.0,1632.0,1640.0,1703.0,1769.0,1833.0,1872.0,1900.0,1912.5,1913.0,1940.9
Khojaly district,,,,199.0,853.0,1898.0,1567.0,2025.0,2111.0,2368.0,2200.0,1991.0,2120.0,2069.0,1766.0,1483.0,1373.0,974.0,1825.0,1512.0,1615.4,1172.0,1207.5,1206.0
Khojavand district,,334.0,,,,,9.0,19.0,9.0,115.0,121.0,56.0,75.0,71.0,111.0,172.0,196.0,299.0,235.0,245.0,278.8,286.1,147.6,34.5
Shusha district,,,,62.0,66.0,68.0,99.0,19.0,18.0,12.0,8.0,21.0,62.0,22.0,22.0,27.0,36.0,29.0,192.0,47.0,55.0,22.0,23.0,40.5
Tartar district,2344.0,2340.0,3253.0,3343.0,3532.0,4101.0,4513.0,5348.0,4626.0,4751.0,4749.0,4892.0,5299.0,5748.0,5970.0,6230.0,5831.0,5459.0,5483.0,4515.0,4250.1,4667.4,4107.8,5744.5
Gazakh-Tovuz economic region,232769.0,352920.0,406342.0,451335.0,542606.0,677107.0,575915.0,599871.0,608441.0,534717.0,544425.0,508991.0,534507.0,551324.0,415530.0,396091.0,422319.0,448475.0,437910.0,480030.0,519619.3,540449.0,540312.1,511554.0
