Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,52496.0,55193.0,57610.0,59344.0,65796.0,70690.0,66847.0,67111.0,68859.0,65569.0,65798.0,65187.0,66004.0,65315.0,61658.0,60974.0,62791.0,58772.0,59318.0,56921.0,56988.0,56103.7,54775.7,49460.5
Baku city,13.0,5.0,6.0,6.0,9.0,19.0,40.0,19.0,34.0,34.0,20.0,36.0,31.0,20.0,10.0,10.0,18.0,19.0,19.0,9.0,8.0,12.0,12.0,12.0
Nakhchivan Autonomous Republic,1451.0,1628.0,1491.0,1468.0,1602.0,1990.0,2461.0,2495.0,2513.0,2720.0,2741.0,2764.0,2831.0,2957.0,2962.0,2967.0,3053.0,3183.0,3215.0,3228.0,3241.0,3470.0,3481.0,989.3
Nakhchivan city,,,,,,,17.0,19.0,,40.0,26.0,26.0,28.0,30.0,31.0,30.0,31.0,32.0,33.0,32.0,34.0,35.0,36.0,11.0
Babak district,130.0,148.0,163.0,162.0,180.0,237.0,260.0,265.0,280.0,262.0,265.0,267.0,320.0,350.0,351.0,449.0,450.0,476.0,478.0,479.0,480.0,487.0,489.0,27.0
Julfa district,126.0,141.0,159.0,226.0,259.0,356.0,450.0,452.0,453.0,453.0,453.0,456.0,457.0,484.0,484.0,386.0,460.0,275.0,278.0,279.0,16.0,154.0,156.0,12.3
Kangarli district,,,,,102.0,146.0,161.0,165.0,167.0,196.0,206.0,210.0,212.0,213.0,214.0,215.0,216.0,234.0,235.0,236.0,240.0,274.0,275.0,26.0
Ordubad district,274.0,310.0,324.0,330.0,351.0,405.0,535.0,536.0,537.0,568.0,569.0,571.0,572.0,573.0,573.0,574.0,575.0,576.0,577.0,578.0,580.0,586.0,587.0,14.0
Sadarak district,10.0,12.0,50.0,20.0,12.0,16.0,25.0,32.0,40.0,80.0,82.0,84.0,90.0,95.0,96.0,97.0,98.0,102.0,103.0,96.0,101.0,118.0,119.0,45.0
Shahbuz district,150.0,175.0,185.0,180.0,180.0,220.0,300.0,310.0,316.0,400.0,410.0,415.0,416.0,460.0,461.0,462.0,463.0,424.0,435.0,434.0,440.0,442.0,443.0,13.0
Sharur district,761.0,842.0,610.0,550.0,518.0,610.0,713.0,716.0,720.0,721.0,730.0,735.0,736.0,752.0,752.0,754.0,760.0,1064.0,1076.0,1094.0,1350.0,1374.0,1376.0,841.0
Absheron-Khizi economic region,67.0,84.0,114.0,90.0,80.0,73.0,101.0,77.0,77.0,44.0,46.0,61.0,32.0,45.0,48.0,50.0,63.0,42.0,43.0,35.0,36.2,35.5,26.4,19.0
Sumgayit city,,,,,,,26.0,4.0,3.0,3.0,7.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
Absheron district,7.0,8.0,37.0,14.0,8.0,3.0,5.0,4.0,3.0,1.0,,4.0,6.0,9.0,9.0,9.0,12.0,12.0,10.0,9.0,7.2,8.5,7.4,7.0
Khizi district,60.0,76.0,77.0,76.0,72.0,70.0,70.0,69.0,71.0,40.0,39.0,51.0,24.0,34.0,37.0,39.0,49.0,28.0,30.0,24.0,27.0,25.0,17.0,10.0
Daghlig Shirvan economic region,1243.0,1360.0,1554.0,1759.0,1822.0,1862.0,1897.0,1903.0,1946.0,1930.0,2023.0,1977.0,2011.0,2006.0,2019.0,1738.0,1849.0,1482.0,1528.0,1531.0,1544.3,1551.5,1311.0,1326.5
Aghsu district,15.0,26.0,32.0,34.0,54.0,61.0,61.0,66.0,99.0,99.0,184.0,114.0,134.0,122.0,120.0,131.0,152.0,168.0,179.0,167.0,172.3,167.5,169.0,171.5
Ismayilli district,349.0,444.0,619.0,750.0,757.0,760.0,760.0,758.0,764.0,744.0,747.0,750.0,758.0,760.0,771.0,785.0,894.0,917.0,885.0,935.0,970.0,976.0,726.0,733.0
Gobustan district,400.0,400.0,403.0,415.0,438.0,454.0,459.0,461.0,464.0,465.0,442.0,445.0,446.0,448.0,450.0,142.0,110.0,129.0,110.0,107.0,76.0,70.0,77.0,82.0
Shamakhi district,479.0,490.0,500.0,560.0,573.0,587.0,617.0,618.0,619.0,622.0,650.0,668.0,673.0,676.0,678.0,680.0,693.0,268.0,354.0,322.0,326.0,338.0,339.0,340.0
