Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,337750.0,402487.0,411665.0,421550.0,442834.0,458311.0,465886.0,464511.0,468016.0,424834.0,434036.0,463244.0,471612.0,500686.0,481395.0,515160.0,502769.0,624198.0,609179.0,697817.0,774876.9,807346.8,826492.9,845524.8
Baku city,243.0,1554.0,5037.0,5037.0,5297.0,5296.0,9725.0,13072.0,11058.0,9758.0,3502.0,4748.0,7694.0,11306.0,2627.0,3497.0,8043.0,38828.0,38730.0,60657.0,58531.7,87442.2,95487.8,102685.0
Nakhchivan Autonomous Republic,13915.0,15122.0,17666.0,18364.0,20290.0,22237.0,21693.0,23256.0,23655.0,24302.0,26368.0,26504.0,26683.0,26761.0,27003.0,32305.0,32844.0,32938.0,34215.0,34573.0,32036.1,35994.7,36049.6,8114.1
Nakhchivan city,,,,,,,224.0,244.0,229.0,1106.0,1083.0,1086.0,1091.0,1142.0,1152.0,1230.0,1313.0,1319.0,1306.0,1332.0,1367.8,1465.0,1467.0,191.0
Babak district,5385.0,5368.0,6275.0,4984.0,6509.0,6504.0,6536.0,6849.0,7009.0,6380.0,6392.0,6454.0,6483.0,6485.0,6490.0,9176.0,9319.0,9820.0,11077.0,10289.0,8042.1,9853.4,9860.7,1456.7
Julfa district,1258.0,1299.0,1590.0,1911.0,2048.0,2615.0,2837.0,3182.0,3170.0,3302.0,5281.0,5283.0,5257.0,5247.0,5255.0,3440.0,3330.0,1642.0,1151.0,1158.0,225.0,2156.8,2159.0,245.7
Kangarli district,,,,,929.0,503.0,503.0,475.0,758.0,932.0,984.0,1011.0,1059.0,1008.0,1075.0,1230.0,1293.0,1325.0,1480.0,1447.0,1560.2,1964.4,1967.0,209.0
Ordubad district,796.0,995.0,1617.0,1748.0,1829.0,1962.0,1976.0,1981.0,1989.0,1770.0,1788.0,1804.0,1818.0,1834.0,1842.0,1922.0,2260.0,2306.0,2371.0,2391.0,2306.5,2653.0,2664.5,31.5
Sadarak district,187.0,800.0,1380.0,1129.0,1278.0,1437.0,1515.0,1644.0,1708.0,2035.0,1830.0,1836.0,1872.0,1874.0,1885.0,2066.0,2064.0,2072.0,1622.0,1321.0,1384.5,1463.2,1468.4,541.0
Shahbuz district,166.0,163.0,232.0,1462.0,1980.0,2150.0,2115.0,2108.0,2175.0,2185.0,2070.0,2072.0,2127.0,2167.0,2175.0,2015.0,2019.0,981.0,800.0,675.0,698.0,761.9,774.0,55.0
