Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Republic of Azerbaijan,18903.0,21943.0,23936.0,23558.0,25003.0,25171.0,26070.0,26444.0,27212.0,26109.0,26499.0,27416.0,25579.0,26005.0,25556.0,25743.0,23819.0,21331.0,19590.0,19767.0,19370.7,20214.2,19824.5,17755.4
Baku city,19.0,71.0,105.0,105.0,140.0,140.0,200.0,77.0,137.0,92.0,81.0,148.0,197.0,233.0,116.0,140.0,231.0,518.0,550.0,542.0,518.2,563.5,596.6,622.3
Nakhchivan Autonomous Republic,1500.0,1926.0,2162.0,1957.0,2190.0,2206.0,2164.0,2293.0,2280.0,2346.0,2315.0,2331.0,2340.0,2347.0,2342.0,2312.0,2314.0,2316.0,2314.0,2318.0,2068.1,2356.0,2361.0,521.1
Nakhchivan city,,,,,,,38.0,39.0,41.0,138.0,126.0,126.0,126.0,127.0,128.0,128.0,126.0,126.0,123.0,124.0,126.0,127.0,128.0,17.0
Babak district,585.0,924.0,1012.0,731.0,965.0,987.0,863.0,901.0,902.0,798.0,798.0,806.0,810.0,810.0,810.0,857.0,857.0,878.0,877.0,829.0,602.0,721.0,722.0,118.0
Julfa district,89.0,90.0,102.0,116.0,122.0,146.0,160.0,177.0,173.0,198.0,206.0,207.0,206.0,206.0,202.0,122.0,123.0,43.0,41.0,53.0,13.0,150.0,151.0,21.0
Kangarli district,,,,,102.0,55.0,56.0,48.0,58.0,74.0,82.0,84.0,85.0,86.0,87.0,89.0,91.0,92.0,92.0,93.0,101.0,122.0,121.0,16.0
Ordubad district,182.0,202.0,293.0,294.0,304.0,304.0,305.0,305.0,306.0,272.0,273.0,275.0,276.0,277.0,278.0,278.0,279.0,280.0,282.0,282.0,270.0,285.0,288.0,3.0
Sadarak district,11.0,50.0,85.0,99.0,105.0,115.0,143.0,158.0,159.0,170.0,165.0,166.0,168.0,169.0,163.0,163.0,164.0,165.0,164.0,140.0,142.0,144.0,145.0,54.0
Shahbuz district,65.0,70.0,84.0,86.0,99.0,100.0,100.0,101.0,104.0,109.0,101.0,102.0,103.0,104.0,105.0,106.0,105.0,50.0,51.0,50.0,52.0,53.0,54.0,4.0
Sharur district,568.0,590.0,586.0,631.0,493.0,499.0,499.0,564.0,537.0,587.0,564.0,565.0,566.0,568.0,569.0,569.0,569.0,682.0,684.0,747.0,762.0,754.0,752.0,288.0
