,Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Republic of Azerbaijan ,97,102,102,112,112,122,124,123,127,131,134,140,143,142,144,148,148,167,184,214,233.5,245.7,265.3,281.1
,Baku city ,69,63,63,63,51,51,164,76,69,134,134,150,256,246,230,168,65,74,96,100,79.5,92.3,91.2,98.8
,Nakhchivan Autonomous Republic,75,103,99,98,88,130,114,114,117,158,109,108,109,104,95,99,104,118,118,122,139.7,141.8,141.2,283.7
,Nakhchivan city,-,-,-,-,-,-,56,57,66,95,39,38,40,42,40,46,46,47,45,45,48.1,34.6,36.5,40
,Babak district,41,131,130,105,59,249,161,163,164,165,166,157,157,147,148,151,126,128,128,126,138.2,118.5,118.7,110.5
,Julfa district,85,90,82,88,105,109,119,124,125,109,23,23,24,24,20,35,51,65,65,67,90,90.5,90.7,92
,Kangarli district,-,-,-,-,99,99,100,101,112,112,193,194,188,182,139,140,137,138,137,146,144.2,169.1,145.2,125
,Ordubad district,42,42,55,56,56,57,61,61,61,62,62,62,63,63,64,65,83,84,86,86,86.5,86.7,88.7,70
,Sadarak district,40,160,164,104,101,105,114,105,105,321,105,105,95,100,65,68,68,69,69,71,74.5,84.1,84.3,77
,Shahbuz district,19,17,24,50,100,100,105,106,108,100,101,101,98,95,95,81,95,96,104,115,127,47.8,48.3,44
,Sharur district,109,110,103,113,113,99,120,120,123,361,190,191,191,166,165,168,164,185,185,188,190.5,210.5,211.1,300
,Absheron-Khizi economic region,30,57,61,58,74,69,114,74,76,85,83,79,78,81,80,93,94,113,111,115,136.1,117.6,113.3,123.8
,Sumgayit city,40,40,41,40,37,105,51,51,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-
,Absheron district,55,58,81,85,93,33,68,93,81,94,88,86,81,95,87,112,100,120,115,115,136.1,117.6,113.3,123.8
,Khizi district,28,60,61,51,65,74,74,78,65,62,77,73,70,73,75,75,84,80,-,-,-,-,-,-
,Daghlig Shirvan economic region,102,110,89,88,90,89,89,86,81,80,81,76,85,85,85,89,94,96,98,102,101.4,98.8,100.4,97.7
,Aghsu district,66,67,71,69,72,72,71,72,64,69,70,61,71,78,75,88,93,94,94,97,101,103.4,107.1,107.9
,Ismayilli district,154,162,111,107,106,106,108,108,101,94,94,98,101,101,102,104,103,103,104,105,104.5,103.8,104.7,103.6
,Gobustan district,30,15,24,28,32,33,32,32,33,33,27,31,32,33,29,29,34,37,40,40,42.7,48,50,51.6
,Shamakhi district,149,147,89,94,102,98,93,79,85,86,91,95,92,89,89,87,87,86,88,90,79.33,70.2,63.4,63.6
,Ganja-Dashkasan economic region,,,,,,,,,,,,,,102,97,89,94,91,95,88,134,134,141.9,138.2
,Ganja city,-,5,-,77,76,102,117,99,92,70,86,87,137,137,139,140,130,130,118,136,128.2,-,-,-
,Naftalan city,-,-,-,-,-,-,-,-,-,-,-,83,83,69,63,114,114,-,-,-,-,-,-,10
,Goranboy district,9,66,18,90,83,88,82,83,84,122,133,132,140,94,92,91,90,90,85,95,95,95.3,95.5,141.1
,Goygol district,57,27,37,89,69,60,76,70,77,72,73,98,104,110,94,72,80,90,91,71,124.1,122.1,134.4,119.4
,Samukh district,87,83,92,75,78,83,93,72,94,97,99,97,106,105,109,121,128,94,106,108,167.8,170.7,168.4,166.4
,Karabakh economic region,,,,,,,,,,,,,,162,164,170,164,202,211,276,301,308.7,367.3,362.2
,Aghjabadi district ,145,124,155,155,143,143,143,142,143,143,138,136,136,135,145,146,142,145,142,400,402.2,406.9,493,493.2
,Aghdam district ,65,118,87,139,191,205,202,186,186,195,185,186,196,201,203,204,203,206,223,244,246.3,249.1,333.2,334.1
,Barda district ,97,106,103,109,111,107,107,107,111,111,122,135,141,145,146,164,150,270,225,382,410.7,444.4,445.1,432
,Fuzuli district ,19,86,95,77,79,80,81,82,83,76,85,90,129,85,106,83,100,184,210,120,136,176.7,150,151
,Khojaly district ,-,-,-,-,-,-,-,150,80,-,-,-,22,70,65,74,-,-,-,-,250,250,200,210
,Khojavand district ,60,69,68,83,120,130,130,140,90,85,90,112,115,82,100,98,91,80,98,98,266.7,311.7,288.5,204
,Shusha district ,-,-,-,30,30,31,31,32,38,39,38,42,46,45,46,46,48,58,265,208,170,198.5,211,196.9
,Tartar district ,81,106,113,104,111,108,127,111,112,118,130,134,135,125,126,129,132,178,180,180,180.5,171.3,189.7,221.8
,Gazakh-Tovuz economic region,,,,,,,,,,,,,,177,180,186,189,191,201,217,251.5,262.7,273.9,292.3
,Aghstafa district,89,116,127,89,82,103,118,85,157,150,120,131,133,134,109,279,256,196,201,201,200.5,205,207,208
,Gadabay district,-,120,-,120,130,120,-,-,-,-,-,-,-,-,350,-,5,-,281,-,151,151,-,151
,Gazakh district,125,150,153,106,141,148,126,129,101,146,154,188,160,142,160,208,217,240,243,250,300,300,300,300
,Shamkir district,150,142,165,168,163,186,187,188,188,188,181,184,184,180,184,185,192,194,204,221,258.2,264.1,275.8,297.6
,Tovuz district,104,115,114,114,81,155,155,156,158,160,160,166,170,167,168,168,160,160,174,179,181,259.8,260,260.9
,Guba-Khachmaz economic region,135,125,124,160,144,146,149,142,136,155,161,150,166,162,156,157,159,159,151,151,154.9,162.3,182.3,184
,Khachmaz district,178,160,164,215,189,202,208,185,197,209,211,194,218,210,200,209,212,226,219,223,236.8,243.8,245.9,245.4
,Guba district,71,74,83,91,93,93,93,90,90,86,105,104,105,105,105,106,106,106,106,106,106.5,106.3,106.8,105.4
,Gusar district,102,140,125,151,144,119,120,139,138,182,152,152,162,161,160,172,178,180,165,165,162.6,167.7,169,169
,Siyazan district,73,74,67,68,64,69,60,40,40,33,62,60,70,64,58,71,57,125,42,64,68,247.2,65.2,101
,Shabran district,113,51,74,79,71,73,54,59,13,24,42,26,15,20,43,101,89,92,84,93,81.2,86.9,87.4,86.2
,Lankaran-Astara economic region,124,116,127,120,124,124,124,127,129,131,139,143,147,137,139,133,135,130,136,132,134.4,135.6,134.4,134.5
,Astara district,247,182,164,99,113,117,119,119,119,107,108,108,109,109,109,103,111,111,108,107,108,112.5,112.6,108.6
,Jalilabad district,65,66,92,92,92,92,93,93,93,93,97,57,90,93,83,94,90,87,105,188,186,150.7,47.5,80
,Lerik district,97,109,138,139,145,145,140,140,135,133,130,123,123,130,132,130,136,123,147,129,129.2,129.3,128.9,128.3
,Lankaran district,151,145,133,151,151,137,142,147,154,158,165,166,172,168,168,161,161,139,151,144,152.6,153.4,153.8,159.5
,Masalli district,123,129,155,157,160,166,154,181,146,154,154,191,190,155,162,142,149,162,167,175,175.1,175.1,175.6,175.7
,Yardimli district,95,12,112,112,115,113,112,113,108,120,121,120,133,136,135,132,138,143,135,131,129.7,128.6,126.3,126.4
,Central Aran economic region,,,,,,,,,,,,,,102,103,103,103,111,111,108,117.4,119.1,107.8,108.1
,Mingachevir city,-,84,230,20,20,11,42,5,5,5,6,7,7,7,10,9,9,7,7,11,11,11.4,10,10.6
,Agdash district,90,76,89,91,94,98,102,105,110,108,111,128,117,111,113,121,130,114,128,93,91,76.5,96.9,105.2
,Goychay district,124,162,154,156,172,175,197,209,228,230,238,247,255,257,254,143,145,149,155,140,139.8,141.6,147.7,146.9
,Kurdamir district,33,40,79,83,75,101,80,72,85,75,75,73,73,76,80,81,83,110,124,121,145.5,166.6,137.2,137.3
,Ujar district,33,38,53,73,69,68,70,68,68,68,73,87,89,89,90,90,101,101,101,101,101.4,98.1,98.2,100
,Yevlakh district,73,89,89,91,93,107,107,131,130,126,126,126,128,120,113,112,114,151,95,85,85,85.1,85.9,85.7
,Zardab district,69,121,102,168,96,219,118,133,143,154,157,156,145,146,146,161,152,204,208,212,216.2,217.7,217.2,212.5
