,Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,Republic of Azerbaijan   ,52496,55193,57610,59344,65796,70690,66847,67111,68859,65569,65798,65187,66004,65315,61658,60974,62791,58772,59318,56921,56988,56103.7,54775.7,49460.5
,Baku city,13,5,6,6,9,19,40,19,34,34,20,36,31,20,10,10,18,19,19,9,8,12,12,12
,Nakhchivan Autonomous Republic,1451,1628,1491,1468,1602,1990,2461,2495,2513,2720,2741,2764,2831,2957,2962,2967,3053,3183,3215,3228,3241,3470,3481,989.3
,Nakhchivan city   ,-,-,-,-,-,-,17,19,-,40,26,26,28,30,31,30,31,32,33,32,34,35,36,11
,Babak district ,130,148,163,162,180,237,260,265,280,262,265,267,320,350,351,449,450,476,478,479,480,487,489,27
,Julfa district ,126,141,159,226,259,356,450,452,453,453,453,456,457,484,484,386,460,275,278,279,16,154,156,12.3
,Kangarli district ,-,-,-,-,102,146,161,165,167,196,206,210,212,213,214,215,216,234,235,236,240,274,275,26
,Ordubad district ,274,310,324,330,351,405,535,536,537,568,569,571,572,573,573,574,575,576,577,578,580,586,587,14
,Sadarak district ,10,12,50,20,12,16,25,32,40,80,82,84,90,95,96,97,98,102,103,96,101,118,119,45
,Shahbuz district ,150,175,185,180,180,220,300,310,316,400,410,415,416,460,461,462,463,424,435,434,440,442,443,13
,Sharur district ,761,842,610,550,518,610,713,716,720,721,730,735,736,752,752,754,760,1064,1076,1094,1350,1374,1376,841
,Absheron-Khizi economic region,67,84,114,90,80,73,101,77,77,44,46,61,32,45,48,50,63,42,43,35,36.2,35.5,26.4,19
,Sumgayit city,-,-,-,-,-,-,26,4,3,3,7,6,2,2,2,2,2,2,3,2,2,2,2,2
,Absheron district ,7,8,37,14,8,3,5,4,3,1,-,4,6,9,9,9,12,12,10,9,7.2,8.5,7.4,7
,Khizi district ,60,76,77,76,72,70,70,69,71,40,39,51,24,34,37,39,49,28,30,24,27,25,17,10
,Daghlig Shirvan economic region,1243,1360,1554,1759,1822,1862,1897,1903,1946,1930,2023,1977,2011,2006,2019,1738,1849,1482,1528,1531,1544.3,1551.5,1311,1326.5
,Aghsu district ,15,26,32,34,54,61,61,66,99,99,184,114,134,122,120,131,152,168,179,167,172.3,167.5,169,171.5
,Ismayilli district ,349,444,619,750,757,760,760,758,764,744,747,750,758,760,771,785,894,917,885,935,970,976,726,733
,Gobustan district ,400,400,403,415,438,454,459,461,464,465,442,445,446,448,450,142,110,129,110,107,76,70,77,82
,Shamakhi district ,479,490,500,560,573,587,617,618,619,622,650,668,673,676,678,680,693,268,354,322,326,338,339,340
,Ganja-Dashkasan economic region,2492,2695,2329,2453,2704,2877,2976,3039,3248,3189,3094,3178,3095,3463,3213,2871,3177,2351,2441,2461,2284.3,2076.6,1228.9,1176.3
,Ganja city,-,-,3,5,4,17,16,17,18,22,22,25,21,21,22,20,13,11,9,10,9.8,-,-,-
,Naftalan city,-,-,-,-,-,-,-,-,-,-,-,1,2,2,3,2,2,1,1,2,2.5,3,2,4.8
,Dashkasan district ,1483,1526,1050,1128,1339,1368,1399,1363,1402,1344,1350,1351,1326,1330,1296,1294,1232,1308,1200,1122,1110,965,416.5,427
,Goranboy district ,114,229,261,257,289,395,411,428,494,456,370,450,393,351,321,270,694,315,435,471,474,475,265.4,265.5
,Goygol district ,710,822,874,866,860,854,903,944,1011,1017,1018,1027,1034,1035,1038,1038,1040,582,551,522,505.5,471,389,322
,Samukh district ,185,118,141,197,212,243,247,287,323,350,334,324,319,724,533,247,196,134,245,334,182.5,162.6,156,157
,Karabakh economic region ,992,1296,1614,2035,2139,1972,1954,2085,1996,2175,1878,1761,1766,1854,1849,1791,1664,1472,1512,1432,1268.3,1168.7,1057.4,1088.4
,Khankandi city,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…
,Aghjabadi district ,183,187,217,238,266,297,305,324,284,294,223,205,208,211,218,220,186,176,194,245,154.5,86.8,97.1,98
,Aghdam district ,102,149,298,393,460,512,520,560,566,570,393,496,440,500,510,450,452,348,351,373,340,294,264,253
,Aghdara district,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Barda district ,350,550,508,750,680,450,361,374,398,515,488,266,278,272,231,228,180,168,192,145,125,122,96.4,125
